MotorID,Brand,Category,SubCategory,MotorType,MotorSize,KV_Rating,MaxCurrent_A,MaxPower_W,ShaftDiameter_mm,MountPattern_mm,RecommendedPropSize,CompatibleDroneType,IntendedUse
MTR-0049,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2207,1950,43,1020,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0050,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2506,1350,44,1080,5,M3-19x19,6 inch,FPV,Cinematic FPV
MTR-0051,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2206,1700,38,900,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0052,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2408,1200,48,1200,5,M3-19x19,7 inch,FPV,Long Range
MTR-0053,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1204,5000,7,140,1.5,M2-9x9,3 inch,FPV,Micro Freestyle
MTR-0054,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,803,18000,4,55,1,M1.4-6x6,1.6-2 inch,FPV,Tinywhoop
MTR-0055,T-MOTOR,Motors,Micro FPV Motors,Brushless Outrunner,1404,4600,10,220,2,M2-9x9,3-4 inch,FPV,Micro Long Range
MTR-0056,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,2814,850,38,850,4,M3-19x19,11-12 inch,Multirotor,Mapping UAV
MTR-0057,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,4112,400,60,2000,6,M4-25x25,17-19 inch,Multirotor,Survey / Mapping
MTR-0058,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,3520,520,65,2100,6,M4-25x25,16-18 inch,Agricultural,Agriculture UAV
MTR-0059,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,5015,280,95,3200,8,M4-25x25,24-28 inch,Agricultural,Heavy Lift UAV
MTR-0060,KDE Direct,Motors,Industrial UAV Motors,Brushless Outrunner,5215,330,85,3000,8,Custom Mount,22-26 inch,Industrial,Heavy Lift UAV
MTR-0061,EMAX,Motors,FPV Motors,Brushless Outrunner,2207,1960,42,1000,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0062,EMAX,Motors,FPV Motors,Brushless Outrunner,2306,1700,40,950,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0063,EMAX,Motors,FPV Motors,Brushless Outrunner,2806.5,1350,46,1180,5,M3-19x19,7 inch,FPV,Long Range
MTR-0064,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2205,2450,34,760,5,M3-16x16,5 inch,FPV,Racing
MTR-0065,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2306,1600,42,980,5,M3-16x16,5-6 inch,FPV,Freestyle
MTR-0066,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,2808,1250,48,1250,5,M3-19x19,7-8 inch,FPV,Long Range
MTR-0067,HGLRC,Motors,FPV Motors,Brushless Outrunner,2207,1750,40,950,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0068,HGLRC,Motors,FPV Motors,Brushless Outrunner,2506,1350,44,1050,5,M3-19x19,6 inch,FPV,Cinematic
MTR-0069,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2306,1800,42,1000,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0070,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2706,1400,45,1150,5,M3-19x19,6-7 inch,FPV,Long Range
MTR-0071,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2207,1700,40,950,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0072,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,2806.5,1300,46,1200,5,M3-19x19,7 inch,FPV,Long Range
MTR-0073,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2205,2300,33,750,5,M3-16x16,5 inch,FPV,Racing
MTR-0074,RCINPOWER,Motors,FPV Motors,Brushless Outrunner,2306,1650,41,970,5,M3-16x16,5 inch,FPV,Freestyle
MTR-0075,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1103,8000,6,120,1.5,M2-9x9,2-3 inch,FPV,Micro Freestyle
MTR-0076,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1202.5,6400,6,120,1.5,M2-9x9,2 inch,FPV,Tinywhoop
MTR-0077,Happymodel,Motors,Micro FPV Motors,Brushless Outrunner,1404,4600,10,220,2,M2-9x9,3 inch,FPV,Micro Long Range
MTR-0078,T-MOTOR,Motors,Micro FPV Motors,Brushless Outrunner,1507,2800,18,380,3,M3-12x12,4 inch,FPV,Micro Cinematic
MTR-0079,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,2212,920,18,350,3.17,M3-16x16,8-10 inch,Multirotor,Camera Drone
MTR-0080,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,2814,900,35,800,4,M3-19x19,10-12 inch,Multirotor,Mapping
MTR-0081,SunnySky,Motors,Multirotor Motors,Brushless Outrunner,3510,630,40,900,5,M3-19x19,13-15 inch,Multirotor,Survey
MTR-0082,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,3515,700,55,1800,6,M4-25x25,15-17 inch,Agricultural,Agriculture UAV
MTR-0083,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,4012,420,70,2200,6,M4-25x25,18-20 inch,Agricultural,Agriculture UAV
MTR-0084,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,5010,300,90,3000,8,M4-25x25,22-26 inch,Agricultural,Heavy Lift
MTR-0085,T-MOTOR,Motors,Industrial UAV Motors,Brushless Outrunner,6215,170,120,4000,8,Custom Mount,30+ inch,Industrial,Heavy Lift UAV
MTR-0086,KDE Direct,Motors,Industrial UAV Motors,Brushless Outrunner,5215,330,85,3000,8,Custom Mount,22-26 inch,Industrial,Heavy Lift UAV
MTR-0087,KDE Direct,Motors,Industrial UAV Motors,Brushless Outrunner,7215,135,120,4500,10,Custom Mount,28-30 inch,Industrial,Heavy Lift UAV
MTR-0088,Turnigy,Motors,Fixed Wing Motors,Brushless Outrunner,2216,1250,22,480,3.17,Cross Mount,9-10 inch,Fixed Wing,RC Aircraft
MTR-0089,Turnigy,Motors,Fixed Wing Motors,Brushless Outrunner,2826,1200,28,650,4,Cross Mount,10-11 inch,Fixed Wing,RC Plane
MTR-0090,Turnigy,Motors,Fixed Wing Motors,Brushless Outrunner,3536,910,45,1000,5,Cross Mount,12-14 inch,Fixed Wing,UAV Plane
MTR-0091,SunnySky,Motors,Fixed Wing Motors,Brushless Outrunner,4020,620,55,1200,6,Cross Mount,15-17 inch,Fixed Wing,Long Endurance
MTR-0092,T-MOTOR,Motors,Coaxial UAV Motors,Brushless Outrunner,6015,170,120,4000,8,Custom Mount,30+ inch,Agricultural,Heavy Lift
MTR-0093,T-MOTOR,Motors,Coaxial UAV Motors,Brushless Outrunner,8120,120,150,5200,10,Custom Mount,32+ inch,Industrial,Heavy Lift UAV
MTR-0094,EMAX,Motors,Micro FPV Motors,Brushless Outrunner,802,19000,4,50,1,M1.4-6x6,1.6 inch,FPV,Tinywhoop
MTR-0095,EMAX,Motors,Micro FPV Motors,Brushless Outrunner,1204,5000,7,140,1.5,M2-9x9,3 inch,FPV,Micro Freestyle
MTR-0096,HGLRC,Motors,Micro FPV Motors,Brushless Outrunner,1404,4600,10,220,2,M2-9x9,3 inch,FPV,Micro Cinematic
MTR-0097,BROTHERHOBBY,Motors,FPV Motors,Brushless Outrunner,2507,1350,45,1100,5,M3-19x19,6-7 inch,FPV,Long Range
MTR-0098,IFLIGHT,Motors,FPV Motors,Brushless Outrunner,3115,900,60,1600,5,M3-19x19,8 inch,FPV,Long Range
MTR-0099,T-MOTOR,Motors,FPV Motors,Brushless Outrunner,3008,1100,50,1350,5,M3-19x19,7 inch,FPV,Cinematic LR
MTR-0100,KDE Direct,Motors,Industrial UAV Motors,Brushless Outrunner,8618,100,180,6500,12,Custom Mount,36+ inch,Industrial,Extreme Heavy Lift
MTR-0101,Happymodel,Motors,Brushed Motors,Coreless Brushed,615,16000,2,15,0.8,Press Fit,31mm,FPV,Tinywhoop
MTR-0102,Eachine,Motors,Brushed Motors,Coreless Brushed,716,15000,2.5,18,1,Press Fit,40mm,FPV,Indoor Trainer
MTR-0103,Makerfire,Motors,Brushed Motors,Coreless Brushed,615,17500,2.2,16,0.8,Press Fit,31mm,FPV,Tinywhoop
MTR-0104,EMAX,Motors,Micro FPV Motors,Brushless Outrunner,703,15000,4,50,1,Press Fit,1.6 inch,FPV,Tinywhoop
MTR-0105,T-MOTOR,Motors,Micro FPV Motors,Brushless Outrunner,802,22000,5,60,1,Press Fit,1.6 inch,FPV,Indoor Racing
MTR-0106,RCINPOWER,Motors,Micro FPV Motors,Brushless Outrunner,803,18000,5,55,1,Press Fit,1.6-2 inch,FPV,Tinywhoop
MTR-0107,NewBeeDrone,Motors,Micro FPV Motors,Brushless Outrunner,1102,13500,5,65,1.5,M2-9x9,2 inch,FPV,Indoor Racing
MTR-0108,T-MOTOR,Motors,Cinewhoop Motors,Brushless Outrunner,2004,3000,18,300,5,M3-12x12,3 inch,FPV,Cinewhoop
MTR-0109,IFLIGHT,Motors,Cinewhoop Motors,Brushless Outrunner,2203.5,2800,22,380,5,M3-12x12,3 inch,FPV,Cinematic FPV
MTR-0110,HGLRC,Motors,Cinewhoop Motors,Brushless Outrunner,2006,2400,25,450,5,M3-16x16,3-4 inch,FPV,Cinematic FPV
MTR-0111,T-MOTOR,Motors,Ducted Fan Motors,Brushless Inrunner,EDF64,5000,40,1200,5,Custom EDF,64mm EDF,Industrial,Ducted UAV
MTR-0112,Freewing,Motors,Ducted Fan Motors,Brushless Inrunner,EDF70,4500,45,1350,5,Custom EDF,70mm EDF,Industrial,Jet UAV
MTR-0113,T-MOTOR,Motors,Coaxial UAV Motors,Brushless Outrunner,4014,380,70,2200,6,M4-25x25,18-20 inch,Agricultural,Coaxial UAV
MTR-0114,KDE Direct,Motors,Coaxial UAV Motors,Brushless Outrunner,5215XC,320,85,3000,8,Custom Mount,22-26 inch,Industrial,Coaxial Heavy Lift
MTR-0115,SunnySky,Motors,Legacy Multirotor Motors,Brushless Outrunner,2212,980,20,400,3.17,M3-16x16,8-10 inch,Multirotor,Trainer Drone
MTR-0116,Turnigy,Motors,Legacy Multirotor Motors,Brushless Outrunner,2830,850,28,650,4,Cross Mount,10-11 inch,Multirotor,DIY Drone
MTR-0117,EMAX,Motors,Legacy FPV Motors,Brushless Outrunner,2205,2300,32,720,5,M3-16x16,5 inch,FPV,Legacy Racing
MTR-0118,IFLIGHT,Motors,Legacy FPV Motors,Brushless Outrunner,2206,1700,36,820,5,M3-16x16,5 inch,FPV,Legacy Freestyle
MTR-0119,T-MOTOR,Motors,Specialty UAV Motors,Brushless Outrunner,Antigravity2207,1960,40,950,5,M3-16x16,5 inch,FPV,Ultra-Light Build
MTR-0120,KDE Direct,Motors,Specialty UAV Motors,Brushless Outrunner,DirectDrive7015,150,160,5200,10,Custom Mount,32-36 inch,Industrial,Direct Drive UAV
MTR-0121,Cobra,Motors,Brushless Motor,Brushless Outrunner,2205,1900,55,250,2,12x12,8 inch,Industrial,Heavy Lift
MTR-0122,RCINPower,Motors,Brushless Motor,Brushless Outrunner,1404,2550,35,450,5,16x16,4 inch,FPV,Freestyle
MTR-0123,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2205,2650,18,250,5,12x12,6 inch,FPV,Long Range
MTR-0124,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2205,2550,25,250,1.5,16x16,8 inch,Industrial,Heavy Lift
MTR-0125,Cobra,Motors,Brushless Motor,Brushless Outrunner,1806,2100,45,250,1.5,16x16,3 inch,FPV,Cinematic FPV
MTR-0126,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2207,2650,30,450,1.5,12x12,7 inch,FPV,Long Range
MTR-0127,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2306,1700,25,1200,3,12x12,6 inch,FPV,Long Range
MTR-0128,SunnySky,Motors,Brushless Motor,Brushless Outrunner,1806,2550,25,600,5,12x12,8 inch,Industrial,Heavy Lift
MTR-0129,iFlight,Motors,Brushless Motor,Brushless Outrunner,1806,2550,22,250,1.5,12x12,5 inch,FPV,Freestyle
MTR-0130,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2507,2100,18,1200,5,9x9,5 inch,FPV,Freestyle
MTR-0131,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2407,2650,30,450,4,16x16,5 inch,FPV,Freestyle
MTR-0132,T-Motor,Motors,Brushless Motor,Brushless Outrunner,1404,1900,22,600,5,16x16,6 inch,FPV,Long Range
MTR-0133,Cobra,Motors,Brushless Motor,Brushless Outrunner,2407,2650,55,250,4,12x12,10 inch,Industrial,Industrial UAV
MTR-0134,SunnySky,Motors,Brushless Motor,Brushless Outrunner,1204,1700,35,350,3,9x9,7 inch,FPV,Long Range
MTR-0135,Cobra,Motors,Brushless Motor,Brushless Outrunner,1204,1900,30,600,4,19x19,2 inch,FPV,Indoor FPV
MTR-0136,SunnySky,Motors,Brushless Motor,Brushless Outrunner,1806,2300,18,1200,3,9x9,4 inch,FPV,Freestyle
MTR-0137,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2507,2550,45,1200,4,19x19,4 inch,FPV,Freestyle
MTR-0138,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1204,2100,35,350,3,9x9,7 inch,FPV,Long Range
MTR-0139,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2507,2450,25,800,3,16x16,7 inch,FPV,Long Range
MTR-0140,Cobra,Motors,Brushless Motor,Brushless Outrunner,1103,2300,55,350,5,16x16,2 inch,FPV,Indoor FPV
MTR-0141,T-Motor,Motors,Brushless Motor,Brushless Outrunner,1103,2450,18,450,1.5,12x12,10 inch,Industrial,Industrial UAV
MTR-0142,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1404,2450,22,350,5,12x12,6 inch,FPV,Long Range
MTR-0143,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1507,2300,45,600,2,19x19,5 inch,FPV,Freestyle
MTR-0144,Emax,Motors,Brushless Motor,Brushless Outrunner,1806,1900,25,600,5,16x16,7 inch,FPV,Long Range
MTR-0145,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2205,2100,35,350,3,12x12,5 inch,FPV,Freestyle
MTR-0146,XNova,Motors,Brushless Motor,Brushless Outrunner,1404,2300,35,600,1.5,12x12,3 inch,FPV,Cinematic FPV
MTR-0147,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1507,2450,25,250,3,12x12,2 inch,FPV,Indoor FPV
MTR-0148,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1507,1500,18,350,3,16x16,2 inch,FPV,Indoor FPV
MTR-0149,Cobra,Motors,Brushless Motor,Brushless Outrunner,2407,2550,45,250,1.5,16x16,6 inch,FPV,Long Range
MTR-0150,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2004,2100,25,800,2,12x12,3 inch,FPV,Cinematic FPV
MTR-0151,Cobra,Motors,Brushless Motor,Brushless Outrunner,2507,2550,45,600,2,12x12,5 inch,FPV,Freestyle
MTR-0152,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2407,1700,35,450,2,16x16,4 inch,FPV,Freestyle
MTR-0153,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2407,2650,45,450,1.5,16x16,7 inch,FPV,Long Range
MTR-0154,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1103,2100,45,250,1.5,19x19,2 inch,FPV,Indoor FPV
MTR-0155,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2004,2450,55,800,5,19x19,5 inch,FPV,Freestyle
MTR-0156,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2507,1900,30,600,1.5,19x19,10 inch,Industrial,Industrial UAV
MTR-0157,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1806,2450,35,450,5,9x9,8 inch,Industrial,Heavy Lift
MTR-0158,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1103,1700,30,600,1.5,19x19,6 inch,FPV,Long Range
MTR-0159,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1507,1900,45,250,5,16x16,4 inch,FPV,Freestyle
MTR-0160,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2207,2550,18,800,3,19x19,7 inch,FPV,Long Range
MTR-0161,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2407,1500,45,350,3,19x19,3 inch,FPV,Cinematic FPV
MTR-0162,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1507,1900,45,250,4,9x9,2 inch,FPV,Indoor FPV
MTR-0163,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1507,2100,30,350,3,9x9,3 inch,FPV,Cinematic FPV
MTR-0164,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2507,2450,18,600,3,19x19,8 inch,Industrial,Heavy Lift
MTR-0165,Emax,Motors,Brushless Motor,Brushless Outrunner,2205,2300,40,600,1.5,16x16,2 inch,FPV,Indoor FPV
MTR-0166,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2207,2450,22,800,3,19x19,2 inch,FPV,Indoor FPV
MTR-0167,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2507,2100,40,350,1.5,9x9,5 inch,FPV,Freestyle
MTR-0168,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2407,2650,18,600,1.5,9x9,2 inch,FPV,Indoor FPV
MTR-0169,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1404,1500,55,600,4,9x9,3 inch,FPV,Cinematic FPV
MTR-0170,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2806.5,2100,25,250,1.5,9x9,6 inch,FPV,Long Range
MTR-0171,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2507,2450,55,600,3,9x9,7 inch,FPV,Long Range
MTR-0172,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2205,2300,45,1200,2,12x12,5 inch,FPV,Freestyle
MTR-0173,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2207,2650,25,350,2,9x9,5 inch,FPV,Freestyle
MTR-0174,iFlight,Motors,Brushless Motor,Brushless Outrunner,2207,1700,25,600,3,12x12,7 inch,FPV,Long Range
MTR-0175,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1404,1900,40,250,2,12x12,6 inch,FPV,Long Range
MTR-0176,SunnySky,Motors,Brushless Motor,Brushless Outrunner,1404,2300,45,600,3,16x16,3 inch,FPV,Cinematic FPV
MTR-0177,Emax,Motors,Brushless Motor,Brushless Outrunner,1806,2450,55,1200,3,9x9,10 inch,Industrial,Industrial UAV
MTR-0178,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2806.5,1900,18,1200,4,12x12,4 inch,FPV,Freestyle
MTR-0179,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2306,1700,18,250,3,19x19,10 inch,Industrial,Industrial UAV
MTR-0180,Cobra,Motors,Brushless Motor,Brushless Outrunner,1507,2300,25,350,2,9x9,2 inch,FPV,Indoor FPV
MTR-0181,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2306,1500,25,600,4,16x16,7 inch,FPV,Long Range
MTR-0182,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1103,2300,40,450,4,12x12,8 inch,Industrial,Heavy Lift
MTR-0183,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1103,1500,22,250,3,16x16,5 inch,FPV,Freestyle
MTR-0184,XNova,Motors,Brushless Motor,Brushless Outrunner,2407,2450,30,350,1.5,19x19,10 inch,Industrial,Industrial UAV
MTR-0185,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2806.5,1900,25,600,3,9x9,2 inch,FPV,Indoor FPV
MTR-0186,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1204,2550,30,600,5,9x9,10 inch,Industrial,Industrial UAV
MTR-0187,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2207,2550,45,600,4,9x9,8 inch,Industrial,Heavy Lift
MTR-0188,Emax,Motors,Brushless Motor,Brushless Outrunner,2205,2300,40,800,3,19x19,4 inch,FPV,Freestyle
MTR-0189,Emax,Motors,Brushless Motor,Brushless Outrunner,2507,2550,45,600,1.5,16x16,2 inch,FPV,Indoor FPV
MTR-0190,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2004,2100,40,250,4,9x9,10 inch,Industrial,Industrial UAV
