ESCID,MotorID,CompatibilityLevel,RecommendedUse
ESC-0161,MTR-0248,HighPerformance,Cinematic FPV
ESC-0165,MTR-0226,Safe,Long Range FPV
ESC-0295,MTR-0278,Recommended,Long Range FPV
ESC-0102,MTR-0493,Safe,Industrial UAV
ESC-0025,MTR-0280,Recommended,Freestyle FPV
ESC-0131,MTR-0159,HighPerformance,Racing FPV
ESC-0273,MTR-0214,HighPerformance,Long Range FPV
ESC-0115,MTR-0347,Safe,Racing FPV
ESC-0055,MTR-0249,HighPerformance,Cinematic FPV
ESC-0006,MTR-0498,Safe,Cinematic FPV
ESC-0271,MTR-0429,Safe,Long Range FPV
ESC-0173,MTR-0313,Safe,Freestyle FPV
ESC-0149,MTR-0227,HighPerformance,Industrial UAV
ESC-0231,MTR-0499,HighPerformance,Cinematic FPV
ESC-0052,MTR-0330,HighPerformance,Industrial UAV
ESC-0035,MTR-0471,HighPerformance,Racing FPV
ESC-0052,MTR-0453,Safe,Cinematic FPV
ESC-0247,MTR-0269,HighPerformance,Long Range FPV
ESC-0204,MTR-0199,Safe,Long Range FPV
ESC-0115,MTR-0478,Recommended,Long Range FPV
ESC-0076,MTR-0301,HighPerformance,Long Range FPV
ESC-0266,MTR-0095,HighPerformance,Racing FPV
ESC-0120,MTR-0235,HighPerformance,Racing FPV
ESC-0153,MTR-0284,HighPerformance,Long Range FPV
ESC-0199,MTR-0202,HighPerformance,Long Range FPV
ESC-0165,MTR-0381,Safe,Long Range FPV
ESC-0276,MTR-0357,HighPerformance,Freestyle FPV
ESC-0198,MTR-0165,HighPerformance,Industrial UAV
ESC-0288,MTR-0116,Safe,Cinematic FPV
ESC-0109,MTR-0203,Safe,Freestyle FPV
ESC-0135,MTR-0044,Safe,Industrial UAV
ESC-0036,MTR-0303,HighPerformance,Freestyle FPV
ESC-0008,MTR-0496,Recommended,Long Range FPV
ESC-0178,MTR-0257,Recommended,Racing FPV
ESC-0006,MTR-0043,Safe,Cinematic FPV
ESC-0114,MTR-0445,HighPerformance,Long Range FPV
ESC-0106,MTR-0361,HighPerformance,Industrial UAV
ESC-0126,MTR-0383,Safe,Racing FPV
ESC-0069,MTR-0145,Recommended,Industrial UAV
ESC-0053,MTR-0121,Safe,Cinematic FPV
ESC-0253,MTR-0225,HighPerformance,Freestyle FPV
ESC-0242,MTR-0312,Safe,Long Range FPV
ESC-0220,MTR-0090,Recommended,Racing FPV
ESC-0283,MTR-0459,HighPerformance,Racing FPV
ESC-0024,MTR-0368,Recommended,Cinematic FPV
ESC-0140,MTR-0438,Safe,Long Range FPV
ESC-0012,MTR-0324,Safe,Racing FPV
ESC-0096,MTR-0072,Safe,Cinematic FPV
ESC-0002,MTR-0306,Safe,Freestyle FPV
ESC-0204,MTR-0237,Recommended,Long Range FPV
ESC-0265,MTR-0352,HighPerformance,Racing FPV
ESC-0099,MTR-0460,HighPerformance,Cinematic FPV
ESC-0217,MTR-0192,Recommended,Racing FPV
ESC-0283,MTR-0054,Safe,Cinematic FPV
ESC-0057,MTR-0411,Recommended,Racing FPV
ESC-0274,MTR-0436,Recommended,Racing FPV
ESC-0233,MTR-0133,Safe,Long Range FPV
ESC-0237,MTR-0438,Recommended,Cinematic FPV
ESC-0254,MTR-0113,HighPerformance,Industrial UAV
ESC-0212,MTR-0160,HighPerformance,Cinematic FPV
ESC-0042,MTR-0080,Safe,Cinematic FPV
ESC-0144,MTR-0386,HighPerformance,Cinematic FPV
ESC-0070,MTR-0437,HighPerformance,Freestyle FPV
ESC-0266,MTR-0358,Recommended,Freestyle FPV
ESC-0262,MTR-0358,Recommended,Long Range FPV
ESC-0106,MTR-0449,HighPerformance,Freestyle FPV
ESC-0029,MTR-0334,Safe,Cinematic FPV
ESC-0243,MTR-0391,Safe,Cinematic FPV
ESC-0251,MTR-0465,HighPerformance,Freestyle FPV
ESC-0093,MTR-0315,HighPerformance,Racing FPV
ESC-0241,MTR-0127,Safe,Industrial UAV
ESC-0025,MTR-0459,HighPerformance,Freestyle FPV
ESC-0224,MTR-0425,Safe,Racing FPV
ESC-0255,MTR-0315,Safe,Freestyle FPV
ESC-0097,MTR-0030,Recommended,Long Range FPV
ESC-0078,MTR-0250,Safe,Industrial UAV
ESC-0284,MTR-0221,Recommended,Long Range FPV
ESC-0218,MTR-0370,Recommended,Long Range FPV
ESC-0125,MTR-0321,HighPerformance,Freestyle FPV
ESC-0112,MTR-0087,Recommended,Long Range FPV
ESC-0222,MTR-0255,HighPerformance,Freestyle FPV
ESC-0029,MTR-0258,Safe,Racing FPV
ESC-0189,MTR-0213,HighPerformance,Cinematic FPV
ESC-0075,MTR-0406,Recommended,Racing FPV
ESC-0163,MTR-0196,Safe,Long Range FPV
ESC-0074,MTR-0015,HighPerformance,Freestyle FPV
ESC-0154,MTR-0308,HighPerformance,Cinematic FPV
ESC-0188,MTR-0353,Safe,Racing FPV
ESC-0252,MTR-0458,Recommended,Long Range FPV
ESC-0249,MTR-0373,HighPerformance,Cinematic FPV
ESC-0213,MTR-0382,HighPerformance,Freestyle FPV
ESC-0031,MTR-0272,Recommended,Racing FPV
ESC-0250,MTR-0075,Recommended,Cinematic FPV
ESC-0231,MTR-0018,Safe,Long Range FPV
ESC-0267,MTR-0163,HighPerformance,Cinematic FPV
ESC-0289,MTR-0217,Safe,Cinematic FPV
ESC-0092,MTR-0459,HighPerformance,Industrial UAV
ESC-0167,MTR-0086,HighPerformance,Long Range FPV
ESC-0085,MTR-0121,Safe,Cinematic FPV
ESC-0062,MTR-0407,HighPerformance,Cinematic FPV
ESC-0046,MTR-0425,Safe,Long Range FPV
ESC-0074,MTR-0207,Recommended,Racing FPV
ESC-0068,MTR-0319,Recommended,Cinematic FPV
ESC-0029,MTR-0357,Safe,Industrial UAV
ESC-0120,MTR-0014,HighPerformance,Racing FPV
ESC-0160,MTR-0102,Safe,Industrial UAV
ESC-0178,MTR-0310,Recommended,Freestyle FPV
ESC-0134,MTR-0443,HighPerformance,Long Range FPV
ESC-0173,MTR-0072,HighPerformance,Racing FPV
ESC-0049,MTR-0319,HighPerformance,Industrial UAV
ESC-0063,MTR-0173,Safe,Industrial UAV
ESC-0103,MTR-0029,Recommended,Long Range FPV
ESC-0278,MTR-0277,HighPerformance,Industrial UAV
ESC-0095,MTR-0202,Recommended,Industrial UAV
ESC-0272,MTR-0059,Safe,Industrial UAV
ESC-0148,MTR-0316,Recommended,Industrial UAV
ESC-0135,MTR-0042,Recommended,Freestyle FPV
ESC-0153,MTR-0469,Safe,Cinematic FPV
ESC-0290,MTR-0245,Safe,Industrial UAV
ESC-0280,MTR-0181,Safe,Racing FPV
ESC-0261,MTR-0249,Recommended,Cinematic FPV
ESC-0300,MTR-0307,HighPerformance,Long Range FPV
ESC-0130,MTR-0214,Recommended,Long Range FPV
ESC-0139,MTR-0412,Recommended,Freestyle FPV
ESC-0292,MTR-0442,Recommended,Racing FPV
ESC-0045,MTR-0478,Safe,Freestyle FPV
ESC-0255,MTR-0346,Safe,Long Range FPV
ESC-0149,MTR-0121,Recommended,Racing FPV
ESC-0162,MTR-0316,Recommended,Industrial UAV
ESC-0005,MTR-0484,Recommended,Long Range FPV
ESC-0179,MTR-0011,Safe,Industrial UAV
ESC-0294,MTR-0169,Safe,Cinematic FPV
ESC-0168,MTR-0201,Recommended,Freestyle FPV
ESC-0195,MTR-0421,HighPerformance,Industrial UAV
ESC-0247,MTR-0300,HighPerformance,Industrial UAV
ESC-0261,MTR-0271,HighPerformance,Racing FPV
ESC-0292,MTR-0150,HighPerformance,Freestyle FPV
ESC-0058,MTR-0477,Safe,Industrial UAV
ESC-0159,MTR-0466,Recommended,Long Range FPV
ESC-0205,MTR-0195,Recommended,Long Range FPV
ESC-0119,MTR-0175,Safe,Industrial UAV
ESC-0114,MTR-0154,HighPerformance,Freestyle FPV
ESC-0264,MTR-0269,HighPerformance,Freestyle FPV
ESC-0131,MTR-0474,Safe,Long Range FPV
ESC-0097,MTR-0024,HighPerformance,Industrial UAV
ESC-0262,MTR-0242,Recommended,Cinematic FPV
ESC-0095,MTR-0381,Safe,Freestyle FPV
ESC-0261,MTR-0161,Safe,Industrial UAV
ESC-0108,MTR-0096,HighPerformance,Cinematic FPV
ESC-0006,MTR-0260,Safe,Industrial UAV
ESC-0208,MTR-0050,Recommended,Industrial UAV
ESC-0020,MTR-0205,HighPerformance,Industrial UAV
ESC-0030,MTR-0186,HighPerformance,Long Range FPV
ESC-0231,MTR-0248,HighPerformance,Racing FPV
ESC-0032,MTR-0204,Safe,Long Range FPV
ESC-0235,MTR-0387,Safe,Long Range FPV
ESC-0047,MTR-0336,HighPerformance,Freestyle FPV
ESC-0089,MTR-0062,HighPerformance,Racing FPV
ESC-0092,MTR-0183,HighPerformance,Racing FPV
ESC-0100,MTR-0143,Safe,Racing FPV
ESC-0028,MTR-0186,HighPerformance,Cinematic FPV
ESC-0137,MTR-0236,Recommended,Racing FPV
ESC-0152,MTR-0186,Safe,Cinematic FPV
ESC-0244,MTR-0443,Recommended,Freestyle FPV
ESC-0163,MTR-0114,Safe,Freestyle FPV
ESC-0192,MTR-0066,Recommended,Racing FPV
ESC-0263,MTR-0068,Recommended,Freestyle FPV
ESC-0196,MTR-0294,Safe,Industrial UAV
ESC-0067,MTR-0437,Recommended,Cinematic FPV
ESC-0064,MTR-0192,Recommended,Freestyle FPV
ESC-0196,MTR-0044,Recommended,Industrial UAV
ESC-0242,MTR-0466,HighPerformance,Long Range FPV
ESC-0191,MTR-0074,Recommended,Cinematic FPV
ESC-0032,MTR-0339,Recommended,Industrial UAV
ESC-0288,MTR-0163,Safe,Cinematic FPV
ESC-0267,MTR-0395,Recommended,Cinematic FPV
ESC-0189,MTR-0332,Recommended,Long Range FPV
ESC-0150,MTR-0091,Safe,Racing FPV
ESC-0263,MTR-0166,Recommended,Long Range FPV
ESC-0129,MTR-0175,Safe,Cinematic FPV
ESC-0018,MTR-0088,HighPerformance,Freestyle FPV
ESC-0095,MTR-0099,Recommended,Cinematic FPV
ESC-0142,MTR-0249,Recommended,Freestyle FPV
ESC-0013,MTR-0175,Safe,Racing FPV
ESC-0246,MTR-0474,HighPerformance,Industrial UAV
ESC-0276,MTR-0125,Safe,Racing FPV
ESC-0249,MTR-0464,Safe,Industrial UAV
ESC-0045,MTR-0230,Safe,Industrial UAV
ESC-0146,MTR-0197,Recommended,Cinematic FPV
ESC-0132,MTR-0370,HighPerformance,Cinematic FPV
ESC-0222,MTR-0317,HighPerformance,Cinematic FPV
ESC-0013,MTR-0346,Recommended,Cinematic FPV
ESC-0155,MTR-0388,HighPerformance,Cinematic FPV
ESC-0185,MTR-0294,HighPerformance,Long Range FPV
ESC-0202,MTR-0357,HighPerformance,Racing FPV
ESC-0263,MTR-0218,HighPerformance,Racing FPV
ESC-0017,MTR-0269,Recommended,Cinematic FPV
ESC-0044,MTR-0390,HighPerformance,Cinematic FPV
ESC-0024,MTR-0380,HighPerformance,Industrial UAV
ESC-0185,MTR-0395,Safe,Cinematic FPV
ESC-0028,MTR-0167,HighPerformance,Freestyle FPV
ESC-0014,MTR-0277,Safe,Freestyle FPV
ESC-0159,MTR-0042,Recommended,Industrial UAV
ESC-0053,MTR-0224,Safe,Industrial UAV
ESC-0258,MTR-0193,Recommended,Cinematic FPV
ESC-0090,MTR-0113,HighPerformance,Long Range FPV
ESC-0278,MTR-0082,HighPerformance,Industrial UAV
ESC-0090,MTR-0044,Recommended,Racing FPV
ESC-0021,MTR-0025,Safe,Freestyle FPV
ESC-0194,MTR-0292,Safe,Freestyle FPV
ESC-0251,MTR-0113,Safe,Industrial UAV
ESC-0161,MTR-0452,HighPerformance,Long Range FPV
ESC-0018,MTR-0209,HighPerformance,Industrial UAV
ESC-0213,MTR-0297,Safe,Cinematic FPV
ESC-0114,MTR-0032,Safe,Cinematic FPV
ESC-0163,MTR-0382,HighPerformance,Freestyle FPV
ESC-0252,MTR-0128,Recommended,Long Range FPV
ESC-0179,MTR-0388,Recommended,Freestyle FPV
ESC-0270,MTR-0156,HighPerformance,Freestyle FPV
ESC-0273,MTR-0413,Safe,Long Range FPV
ESC-0178,MTR-0309,Recommended,Freestyle FPV
ESC-0130,MTR-0196,Safe,Cinematic FPV
ESC-0286,MTR-0242,Safe,Freestyle FPV
ESC-0242,MTR-0277,Recommended,Industrial UAV
ESC-0034,MTR-0336,Safe,Cinematic FPV
ESC-0088,MTR-0042,Recommended,Racing FPV
ESC-0254,MTR-0248,HighPerformance,Freestyle FPV
ESC-0217,MTR-0192,Safe,Industrial UAV
ESC-0013,MTR-0281,Recommended,Industrial UAV
ESC-0270,MTR-0383,Recommended,Long Range FPV
ESC-0166,MTR-0154,HighPerformance,Cinematic FPV
ESC-0278,MTR-0423,Safe,Freestyle FPV
ESC-0183,MTR-0028,Recommended,Cinematic FPV
ESC-0272,MTR-0495,Safe,Freestyle FPV
ESC-0268,MTR-0320,HighPerformance,Freestyle FPV
ESC-0299,MTR-0104,HighPerformance,Freestyle FPV
ESC-0154,MTR-0188,HighPerformance,Industrial UAV
ESC-0041,MTR-0322,HighPerformance,Industrial UAV
ESC-0061,MTR-0215,HighPerformance,Long Range FPV
ESC-0047,MTR-0306,HighPerformance,Cinematic FPV
ESC-0158,MTR-0085,HighPerformance,Racing FPV
ESC-0161,MTR-0079,HighPerformance,Freestyle FPV
ESC-0091,MTR-0500,Safe,Long Range FPV
ESC-0277,MTR-0433,Safe,Industrial UAV
ESC-0102,MTR-0320,HighPerformance,Racing FPV
ESC-0227,MTR-0020,Recommended,Cinematic FPV
ESC-0160,MTR-0124,Recommended,Cinematic FPV
ESC-0228,MTR-0390,Safe,Freestyle FPV
ESC-0048,MTR-0444,Safe,Freestyle FPV
ESC-0046,MTR-0212,Recommended,Long Range FPV
ESC-0152,MTR-0173,HighPerformance,Freestyle FPV
ESC-0277,MTR-0010,Recommended,Industrial UAV
ESC-0206,MTR-0224,HighPerformance,Cinematic FPV
ESC-0129,MTR-0408,Recommended,Industrial UAV
ESC-0173,MTR-0038,Recommended,Industrial UAV
ESC-0138,MTR-0199,HighPerformance,Long Range FPV
ESC-0154,MTR-0185,HighPerformance,Industrial UAV
ESC-0029,MTR-0475,HighPerformance,Industrial UAV
ESC-0090,MTR-0258,Recommended,Racing FPV
ESC-0262,MTR-0499,HighPerformance,Industrial UAV
ESC-0267,MTR-0295,Safe,Racing FPV
ESC-0083,MTR-0369,HighPerformance,Freestyle FPV
ESC-0239,MTR-0045,Recommended,Cinematic FPV
ESC-0230,MTR-0275,Recommended,Freestyle FPV
ESC-0256,MTR-0180,HighPerformance,Freestyle FPV
ESC-0099,MTR-0182,Recommended,Long Range FPV
ESC-0081,MTR-0357,HighPerformance,Freestyle FPV
ESC-0239,MTR-0171,HighPerformance,Cinematic FPV
ESC-0003,MTR-0301,Safe,Freestyle FPV
ESC-0255,MTR-0294,Recommended,Long Range FPV
ESC-0141,MTR-0048,Recommended,Cinematic FPV
ESC-0117,MTR-0038,Recommended,Cinematic FPV
ESC-0244,MTR-0078,Recommended,Cinematic FPV
ESC-0293,MTR-0179,HighPerformance,Racing FPV
ESC-0213,MTR-0264,HighPerformance,Industrial UAV
ESC-0293,MTR-0300,Recommended,Cinematic FPV
ESC-0111,MTR-0484,Safe,Cinematic FPV
ESC-0093,MTR-0155,HighPerformance,Cinematic FPV
ESC-0106,MTR-0475,Recommended,Cinematic FPV
ESC-0120,MTR-0382,HighPerformance,Industrial UAV
ESC-0206,MTR-0017,Safe,Long Range FPV
ESC-0205,MTR-0071,Safe,Racing FPV
ESC-0081,MTR-0115,HighPerformance,Racing FPV
ESC-0257,MTR-0256,Safe,Freestyle FPV
ESC-0268,MTR-0355,HighPerformance,Industrial UAV
ESC-0265,MTR-0118,HighPerformance,Racing FPV
ESC-0107,MTR-0058,Recommended,Freestyle FPV
ESC-0147,MTR-0353,Recommended,Freestyle FPV
ESC-0158,MTR-0147,HighPerformance,Cinematic FPV
ESC-0182,MTR-0444,HighPerformance,Industrial UAV
ESC-0284,MTR-0252,Recommended,Industrial UAV
ESC-0070,MTR-0395,Safe,Cinematic FPV
ESC-0198,MTR-0089,Safe,Long Range FPV
ESC-0174,MTR-0496,HighPerformance,Industrial UAV
ESC-0150,MTR-0231,Recommended,Cinematic FPV
ESC-0025,MTR-0471,HighPerformance,Freestyle FPV
ESC-0270,MTR-0150,Safe,Long Range FPV
ESC-0043,MTR-0183,Safe,Industrial UAV
ESC-0231,MTR-0448,HighPerformance,Racing FPV
ESC-0118,MTR-0365,HighPerformance,Racing FPV
ESC-0161,MTR-0366,Safe,Cinematic FPV
ESC-0123,MTR-0381,HighPerformance,Industrial UAV
ESC-0272,MTR-0491,Recommended,Long Range FPV
ESC-0045,MTR-0400,HighPerformance,Freestyle FPV
ESC-0043,MTR-0397,Recommended,Cinematic FPV
ESC-0221,MTR-0043,Safe,Industrial UAV
ESC-0121,MTR-0240,HighPerformance,Industrial UAV
ESC-0189,MTR-0253,HighPerformance,Freestyle FPV
ESC-0035,MTR-0196,Recommended,Industrial UAV
ESC-0208,MTR-0310,Recommended,Cinematic FPV
ESC-0135,MTR-0135,Recommended,Industrial UAV
ESC-0073,MTR-0071,Safe,Long Range FPV
ESC-0226,MTR-0175,Recommended,Cinematic FPV
ESC-0213,MTR-0081,Recommended,Cinematic FPV
ESC-0037,MTR-0301,HighPerformance,Industrial UAV
ESC-0114,MTR-0406,Recommended,Racing FPV
ESC-0195,MTR-0044,HighPerformance,Freestyle FPV
ESC-0085,MTR-0203,Recommended,Freestyle FPV
ESC-0254,MTR-0289,HighPerformance,Racing FPV
ESC-0026,MTR-0369,HighPerformance,Cinematic FPV
ESC-0034,MTR-0171,Safe,Long Range FPV
ESC-0256,MTR-0204,HighPerformance,Industrial UAV
ESC-0101,MTR-0040,Recommended,Freestyle FPV
ESC-0257,MTR-0236,Recommended,Industrial UAV
ESC-0199,MTR-0040,Recommended,Cinematic FPV
ESC-0142,MTR-0263,Safe,Industrial UAV
ESC-0212,MTR-0406,HighPerformance,Industrial UAV
ESC-0164,MTR-0119,HighPerformance,Cinematic FPV
ESC-0158,MTR-0486,Safe,Freestyle FPV
ESC-0225,MTR-0127,Safe,Industrial UAV
ESC-0211,MTR-0105,HighPerformance,Freestyle FPV
ESC-0017,MTR-0171,HighPerformance,Racing FPV
ESC-0126,MTR-0479,HighPerformance,Industrial UAV
ESC-0110,MTR-0254,Safe,Industrial UAV
ESC-0050,MTR-0294,Recommended,Racing FPV
ESC-0082,MTR-0233,Safe,Industrial UAV
ESC-0099,MTR-0124,Safe,Racing FPV
ESC-0109,MTR-0338,Safe,Long Range FPV
ESC-0108,MTR-0176,Recommended,Cinematic FPV
ESC-0287,MTR-0398,Recommended,Racing FPV
ESC-0106,MTR-0453,HighPerformance,Industrial UAV
ESC-0170,MTR-0467,Safe,Industrial UAV
ESC-0188,MTR-0282,Safe,Cinematic FPV
ESC-0164,MTR-0346,Safe,Cinematic FPV
ESC-0210,MTR-0333,HighPerformance,Freestyle FPV
ESC-0226,MTR-0376,HighPerformance,Cinematic FPV
ESC-0216,MTR-0379,HighPerformance,Racing FPV
ESC-0178,MTR-0034,Safe,Long Range FPV
ESC-0001,MTR-0219,Recommended,Cinematic FPV
ESC-0209,MTR-0403,Recommended,Cinematic FPV
ESC-0036,MTR-0267,Recommended,Racing FPV
ESC-0199,MTR-0057,HighPerformance,Industrial UAV
ESC-0088,MTR-0343,Safe,Cinematic FPV
ESC-0258,MTR-0461,Recommended,Cinematic FPV
ESC-0298,MTR-0252,HighPerformance,Freestyle FPV
ESC-0070,MTR-0143,Safe,Industrial UAV
ESC-0115,MTR-0434,Recommended,Freestyle FPV
ESC-0282,MTR-0475,Safe,Industrial UAV
ESC-0182,MTR-0206,HighPerformance,Racing FPV
ESC-0295,MTR-0114,Safe,Long Range FPV
ESC-0036,MTR-0188,HighPerformance,Cinematic FPV
ESC-0245,MTR-0268,HighPerformance,Racing FPV
ESC-0082,MTR-0028,Recommended,Racing FPV
ESC-0299,MTR-0268,Safe,Racing FPV
ESC-0155,MTR-0222,HighPerformance,Freestyle FPV
ESC-0113,MTR-0177,Safe,Cinematic FPV
ESC-0118,MTR-0350,Recommended,Racing FPV
ESC-0088,MTR-0226,Safe,Industrial UAV
ESC-0020,MTR-0033,Recommended,Freestyle FPV
ESC-0177,MTR-0092,HighPerformance,Cinematic FPV
ESC-0066,MTR-0256,Recommended,Racing FPV
ESC-0096,MTR-0009,Safe,Industrial UAV
ESC-0197,MTR-0052,Safe,Industrial UAV
ESC-0076,MTR-0441,HighPerformance,Industrial UAV
ESC-0163,MTR-0212,Recommended,Cinematic FPV
ESC-0190,MTR-0363,Safe,Cinematic FPV
ESC-0042,MTR-0239,Recommended,Freestyle FPV
ESC-0065,MTR-0482,Recommended,Industrial UAV
ESC-0256,MTR-0270,HighPerformance,Cinematic FPV
ESC-0007,MTR-0385,HighPerformance,Industrial UAV
ESC-0190,MTR-0141,HighPerformance,Freestyle FPV
ESC-0024,MTR-0252,HighPerformance,Cinematic FPV
ESC-0190,MTR-0411,HighPerformance,Cinematic FPV
ESC-0212,MTR-0386,Recommended,Freestyle FPV
ESC-0115,MTR-0283,Recommended,Freestyle FPV
ESC-0225,MTR-0020,Safe,Industrial UAV
ESC-0003,MTR-0418,Recommended,Long Range FPV
ESC-0068,MTR-0332,Safe,Freestyle FPV
ESC-0225,MTR-0377,HighPerformance,Racing FPV
ESC-0043,MTR-0057,HighPerformance,Racing FPV
ESC-0246,MTR-0468,HighPerformance,Freestyle FPV
ESC-0148,MTR-0133,Recommended,Long Range FPV
ESC-0088,MTR-0153,HighPerformance,Industrial UAV
ESC-0014,MTR-0233,Safe,Racing FPV
ESC-0097,MTR-0319,Safe,Freestyle FPV
ESC-0293,MTR-0427,Safe,Industrial UAV
ESC-0143,MTR-0447,HighPerformance,Cinematic FPV
ESC-0084,MTR-0373,Recommended,Cinematic FPV
ESC-0299,MTR-0008,HighPerformance,Racing FPV
ESC-0190,MTR-0154,Safe,Racing FPV
ESC-0129,MTR-0274,HighPerformance,Freestyle FPV
ESC-0250,MTR-0241,HighPerformance,Industrial UAV
ESC-0208,MTR-0392,Recommended,Freestyle FPV
ESC-0196,MTR-0420,Safe,Long Range FPV
ESC-0010,MTR-0136,Recommended,Long Range FPV
ESC-0002,MTR-0026,Recommended,Long Range FPV
ESC-0170,MTR-0372,Safe,Industrial UAV
ESC-0070,MTR-0408,Recommended,Long Range FPV
ESC-0246,MTR-0470,Safe,Racing FPV
ESC-0124,MTR-0169,Recommended,Industrial UAV
ESC-0108,MTR-0185,HighPerformance,Industrial UAV
ESC-0115,MTR-0112,Safe,Freestyle FPV
ESC-0229,MTR-0316,Recommended,Industrial UAV
ESC-0230,MTR-0440,Recommended,Freestyle FPV
ESC-0017,MTR-0247,HighPerformance,Long Range FPV
ESC-0226,MTR-0348,Recommended,Industrial UAV
ESC-0135,MTR-0332,Recommended,Cinematic FPV
ESC-0114,MTR-0270,Safe,Racing FPV
ESC-0070,MTR-0478,Recommended,Long Range FPV
ESC-0251,MTR-0263,Recommended,Cinematic FPV
ESC-0033,MTR-0148,Recommended,Industrial UAV
ESC-0281,MTR-0375,HighPerformance,Racing FPV
ESC-0213,MTR-0179,Recommended,Long Range FPV
ESC-0073,MTR-0302,Recommended,Industrial UAV
ESC-0024,MTR-0404,HighPerformance,Long Range FPV
ESC-0284,MTR-0468,Safe,Freestyle FPV
ESC-0086,MTR-0263,Recommended,Racing FPV
ESC-0070,MTR-0058,Recommended,Freestyle FPV
ESC-0135,MTR-0471,Recommended,Long Range FPV
ESC-0014,MTR-0243,Safe,Industrial UAV
ESC-0056,MTR-0471,Safe,Industrial UAV
ESC-0109,MTR-0382,Safe,Freestyle FPV
ESC-0112,MTR-0120,Safe,Cinematic FPV
ESC-0122,MTR-0395,Safe,Freestyle FPV
ESC-0274,MTR-0122,Recommended,Racing FPV
ESC-0150,MTR-0110,Recommended,Industrial UAV
ESC-0234,MTR-0061,Safe,Long Range FPV
ESC-0136,MTR-0251,HighPerformance,Industrial UAV
ESC-0227,MTR-0244,HighPerformance,Cinematic FPV
ESC-0226,MTR-0158,Safe,Freestyle FPV
ESC-0047,MTR-0153,HighPerformance,Freestyle FPV
ESC-0076,MTR-0469,Recommended,Racing FPV
ESC-0132,MTR-0459,HighPerformance,Freestyle FPV
ESC-0272,MTR-0013,Safe,Freestyle FPV
ESC-0273,MTR-0176,Recommended,Racing FPV
