FrameID,Brand,Category,SubCategory,FrameType,Size_Inch,Wheelbase_mm,Material,ArmType,MountingPattern,SupportedDroneType,IntendedUse
FRM-0084,Custom,Frames,VTOL Frame,Heavy VTOL,Custom,1500,Composite,Hybrid,Custom,Industrial,Heavy VTOL
FRM-0085,Custom,Frames,VTOL Frame,Compact VTOL,Custom,900,Composite,Hybrid,Custom,Industrial,Compact VTOL
FRM-0086,Custom,Frames,Fixed Wing Frame,Long Endurance Wing,Custom,1800,Composite,Fixed,Wing Mount,Fixed Wing,HALE UAV
FRM-0087,Custom,Frames,Fixed Wing Frame,High Speed Wing,Custom,1400,Composite,Fixed,Wing Mount,Fixed Wing,High Speed UAV
FRM-0088,Custom,Frames,Fixed Wing Frame,Cargo Wing,Custom,2000,Composite,Fixed,Wing Mount,Fixed Wing,Cargo UAV
FRM-0089,Custom,Frames,Fixed Wing Frame,Glider Wing,Custom,2200,Composite,Fixed,Wing Mount,Fixed Wing,Glider UAV
FRM-0090,Custom,Frames,Fixed Wing Frame,Hybrid Wing,Custom,1600,Composite,Fixed,Wing Mount,Fixed Wing,Hybrid UAV
FRM-0091,Custom,Frames,Industrial Frame,Rail Inspection Frame,Custom,1000,Carbon + Aluminum,Replaceable,Standard,Industrial,Rail UAV
FRM-0092,Custom,Frames,Industrial Frame,Pipeline Frame,Custom,1200,Carbon + Aluminum,Replaceable,Standard,Industrial,Pipeline UAV
FRM-0093,Custom,Frames,Industrial Frame,Powerline Frame,Custom,1300,Carbon + Aluminum,Replaceable,Standard,Industrial,Powerline UAV
FRM-0094,Custom,Frames,Industrial Frame,Urban Frame,Custom,750,Carbon + Plastic,Protected,Standard,Industrial,Urban UAV
FRM-0095,Custom,Frames,Industrial Frame,Swarm Frame,Custom,400,Carbon,Replaceable,Standard,Industrial,Swarm UAV
FRM-0096,Custom,Frames,Industrial Frame,Redundant Frame,Custom,900,Carbon + Aluminum,Replaceable,Standard,Industrial,Critical UAV
FRM-0097,Custom,Frames,Industrial Frame,Defense Frame,Custom,1600,Carbon + Titanium,Replaceable,Standard,Industrial,Defense UAV
FRM-0098,Custom,Frames,Industrial Frame,Experimental Frame X,Custom,1000,Composite,Modular,Custom,Industrial,Experimental UAV
FRM-0099,BetaFPV,Frames,FPV Frame,Whoop Frame,1.2,55,Plastic,Integrated,Whoop,FPV,Indoor Training
FRM-0100,Happymodel,Frames,FPV Frame,Whoop Frame,1.6,65,Plastic,Integrated,Whoop,FPV,Indoor Racing
FRM-0101,Custom,Frames,FPV Frame,Toothpick Frame,3,120,Carbon,Replaceable,16x16,FPV,Lightweight FPV
FRM-0102,Custom,Frames,FPV Frame,Toothpick Frame,4,150,Carbon,Replaceable,20x20,FPV,Ultra Light FPV
FRM-0103,Armattan,Frames,FPV Frame,Unibody Frame,5,215,Carbon,Unibody,30x30,FPV,Freestyle
FRM-0104,Custom,Frames,FPV Frame,Unibody Frame,7,290,Carbon,Unibody,30x30,FPV,Long Range
FRM-0105,Custom,Frames,FPV Frame,Stackless Frame,5,220,Carbon,Integrated,Custom,FPV,Low Profile FPV
FRM-0106,Custom,Frames,FPV Frame,Stackless Frame,3.5,140,Carbon,Integrated,Custom,FPV,Cinematic FPV
FRM-0107,Custom,Frames,FPV Frame,Vertical Arm Frame,5,225,Carbon,Vertical,30x30,FPV,Freestyle
FRM-0108,Custom,Frames,FPV Frame,Vertical Arm Frame,7,300,Carbon,Vertical,30x30,FPV,Long Range
FRM-0109,Custom,Frames,FPV Frame,Deadcat Frame,5,230,Carbon,Replaceable,30x30,FPV,Filming FPV
FRM-0110,Custom,Frames,FPV Frame,Deadcat Frame,7,310,Carbon,Replaceable,30x30,FPV,Cinematic LR
FRM-0111,Custom,Frames,FPV Frame,Pusher Frame,7,320,Carbon,Replaceable,30x30,FPV,Endurance FPV
FRM-0112,Custom,Frames,FPV Frame,Pusher Frame,9,380,Carbon,Replaceable,30x30,FPV,Ultra Endurance
FRM-0113,Custom,Frames,Industrial Frame,Modular Payload Frame,Custom,900,Carbon + Aluminum,Modular,Standard,Industrial,Payload UAV
FRM-0114,Custom,Frames,Industrial Frame,Quick-Release Frame,Custom,1000,Carbon + Aluminum,Replaceable,Standard,Industrial,Field Ops
FRM-0115,Custom,Frames,Industrial Frame,Foldable Transport Frame,Custom,1100,Carbon + Aluminum,Foldable,Standard,Industrial,Mobile Ops
FRM-0116,Custom,Frames,Industrial Frame,Redundant Motor Frame,Custom,1200,Carbon + Aluminum,Replaceable,Standard,Industrial,Critical UAV
FRM-0117,Custom,Frames,Industrial Frame,Silent Frame,Custom,800,Carbon + Plastic,Isolated,Standard,Industrial,Urban Ops
FRM-0118,Custom,Frames,Industrial Frame,Fire-Resistant Frame,Custom,950,Carbon + Ceramic,Replaceable,Standard,Industrial,Hazard Ops
FRM-0119,Custom,Frames,Industrial Frame,EMI-Shielded Frame,Custom,900,Carbon + Aluminum,Shielded,Standard,Industrial,EMI Ops
FRM-0120,Custom,Frames,Industrial Frame,Crash-Test Frame,Custom,850,Carbon + Aluminum,Replaceable,Standard,Industrial,Testing
FRM-0121,Custom,Frames,Industrial Frame,High Altitude Frame,Custom,1300,Composite,Replaceable,Standard,Industrial,HALE UAV
FRM-0122,Custom,Frames,Industrial Frame,Extreme Cold Frame,Custom,1000,Composite,Replaceable,Standard,Industrial,Arctic UAV
FRM-0123,Custom,Frames,Industrial Frame,Desert Frame,Custom,1100,Composite,Replaceable,Standard,Industrial,Desert UAV
FRM-0124,Custom,Frames,Industrial Frame,Marine Sealed Frame,Custom,950,Aluminum + Composite,Sealed,Custom,Industrial,Marine UAV
FRM-0125,Custom,Frames,VTOL Frame,Compact VTOL Frame,Custom,850,Composite,Hybrid,Custom,Industrial,Portable VTOL
FRM-0126,Custom,Frames,VTOL Frame,Heavy Lift VTOL Frame,Custom,1800,Composite,Hybrid,Custom,Industrial,Heavy VTOL
FRM-0127,Custom,Frames,Fixed Wing Frame,Modular Wing Frame,Custom,1700,Composite,Modular,Wing Mount,Fixed Wing,Research UAV
FRM-0128,Custom,Frames,Fixed Wing Frame,High Aspect Wing,Custom,2400,Composite,Fixed,Wing Mount,Fixed Wing,Glider UAV
FRM-0129,Custom,Frames,Fixed Wing Frame,STOL Wing Frame,Custom,1500,Composite,Fixed,Wing Mount,Fixed Wing,STOL UAV
FRM-0130,Custom,Frames,Industrial Frame,Experimental Frame Z,Custom,1000,Hybrid Composite,Modular,Custom,Industrial,Experimental UAV
FRM-0132,Lumenier,Frames,UAV Frame,Industrial Frame,7,300,Carbon + Plastic,Integrated,25x25,FPV,Long Range FPV
FRM-0133,iFlight,Frames,UAV Frame,Industrial Frame,8,65,Carbon,Replaceable,Whoop,Industrial,Explorer UAV
FRM-0134,BetaFPV,Frames,UAV Frame,Explorer Frame,4,65,Plastic,Integrated,30x30,FPV,Freestyle FPV
FRM-0135,Lumenier,Frames,UAV Frame,Whoop Frame,4,120,Carbon + Aluminum,Replaceable,16x16,FPV,Freestyle FPV
FRM-0136,HGLRC,Frames,UAV Frame,Whoop Frame,3,350,Carbon + Plastic,Integrated,16x16,FPV,Micro FPV
FRM-0137,Armattan,Frames,UAV Frame,Freestyle Frame,4,120,Carbon + Plastic,Integrated,20x20,FPV,Freestyle FPV
FRM-0138,ImpulseRC,Frames,UAV Frame,Racing Frame,6,300,Carbon + Aluminum,Replaceable,Whoop,FPV,Long Range FPV
FRM-0139,iFlight,Frames,UAV Frame,Cinewhoop Frame,10,95,Carbon Fiber,Replaceable,Whoop,Industrial,Industrial UAV
FRM-0140,BetaFPV,Frames,UAV Frame,Freestyle Frame,4,420,Plastic,Integrated,30x30,FPV,Freestyle FPV
FRM-0141,RekonFPV,Frames,UAV Frame,Long Range Frame,8,120,Carbon + Plastic,Integrated,25x25,Industrial,Explorer UAV
FRM-0142,ImpulseRC,Frames,UAV Frame,Racing Frame,8,120,Carbon Fiber,Integrated,Whoop,Industrial,Explorer UAV
FRM-0143,HGLRC,Frames,UAV Frame,Racing Frame,9,420,Carbon Fiber,Integrated,30x30,Industrial,Long Endurance
FRM-0144,ImpulseRC,Frames,UAV Frame,Long Range Frame,9,95,Carbon,Replaceable,Whoop,Industrial,Long Endurance
FRM-0145,GEPRC,Frames,UAV Frame,Whoop Frame,2,65,Plastic,Replaceable,16x16,FPV,Indoor FPV
FRM-0146,TBS,Frames,UAV Frame,Freestyle Frame,8,180,Carbon + Aluminum,Replaceable,Whoop,Industrial,Explorer UAV
FRM-0147,Happymodel,Frames,UAV Frame,Long Range Frame,3,85,Carbon + Aluminum,Integrated,Whoop,FPV,Micro FPV
FRM-0148,Happymodel,Frames,UAV Frame,Whoop Frame,7,350,Carbon + Aluminum,Integrated,16x16,FPV,Long Range FPV
FRM-0149,HGLRC,Frames,UAV Frame,Explorer Frame,3.5,110,Plastic,Replaceable,20x20,FPV,Cinematic FPV
FRM-0150,HGLRC,Frames,UAV Frame,Cinewhoop Frame,6,65,Plastic,Integrated,Whoop,FPV,Long Range FPV
FRM-0151,Diatone,Frames,UAV Frame,Whoop Frame,10,120,Plastic,Replaceable,16x16,Industrial,Industrial UAV
FRM-0152,Flywoo,Frames,UAV Frame,Long Range Frame,4,260,Carbon,Replaceable,16x16,FPV,Freestyle FPV
FRM-0153,Flywoo,Frames,UAV Frame,Racing Frame,2.5,120,Plastic,Replaceable,20x20,FPV,Indoor FPV
FRM-0154,Happymodel,Frames,UAV Frame,Industrial Frame,2.5,260,Carbon + Plastic,Replaceable,20x20,FPV,Indoor FPV
FRM-0155,iFlight,Frames,UAV Frame,Cinewhoop Frame,5,420,Carbon + Plastic,Integrated,Whoop,FPV,Freestyle FPV
FRM-0156,RekonFPV,Frames,UAV Frame,Long Range Frame,3,220,Carbon,Integrated,20x20,FPV,Micro FPV
FRM-0157,Flywoo,Frames,UAV Frame,Cinewhoop Frame,2,140,Plastic,Replaceable,16x16,FPV,Indoor FPV
FRM-0158,Diatone,Frames,UAV Frame,Racing Frame,2.5,180,Carbon Fiber,Replaceable,16x16,FPV,Indoor FPV
FRM-0159,AxisFlying,Frames,UAV Frame,Long Range Frame,10,110,Carbon Fiber,Replaceable,25x25,Industrial,Industrial UAV
FRM-0160,ImpulseRC,Frames,UAV Frame,Freestyle Frame,8,420,Carbon + Plastic,Replaceable,20x20,Industrial,Explorer UAV
FRM-0161,ImpulseRC,Frames,UAV Frame,Cinewhoop Frame,6,65,Plastic,Replaceable,30x30,FPV,Long Range FPV
FRM-0162,AxisFlying,Frames,UAV Frame,Industrial Frame,2,180,Carbon,Integrated,Whoop,FPV,Indoor FPV
FRM-0163,TBS,Frames,UAV Frame,Whoop Frame,5,220,Plastic,Replaceable,16x16,FPV,Freestyle FPV
FRM-0164,Flywoo,Frames,UAV Frame,Long Range Frame,3.5,85,Carbon Fiber,Integrated,20x20,FPV,Cinematic FPV
FRM-0165,BetaFPV,Frames,UAV Frame,Freestyle Frame,6,300,Carbon + Plastic,Integrated,20x20,FPV,Long Range FPV
FRM-0166,AxisFlying,Frames,UAV Frame,Racing Frame,8,180,Carbon + Plastic,Replaceable,30x30,Industrial,Explorer UAV
FRM-0167,GEPRC,Frames,UAV Frame,Cinewhoop Frame,9,65,Carbon + Aluminum,Integrated,30x30,Industrial,Long Endurance
FRM-0168,GEPRC,Frames,UAV Frame,Industrial Frame,4,75,Carbon,Replaceable,Whoop,FPV,Freestyle FPV
FRM-0169,GEPRC,Frames,UAV Frame,Industrial Frame,2,220,Carbon + Plastic,Replaceable,20x20,FPV,Indoor FPV
FRM-0170,Armattan,Frames,UAV Frame,Freestyle Frame,3,300,Carbon + Aluminum,Integrated,25x25,FPV,Micro FPV
FRM-0171,AxisFlying,Frames,UAV Frame,Freestyle Frame,3,140,Carbon,Replaceable,25x25,FPV,Micro FPV
FRM-0172,Diatone,Frames,UAV Frame,Long Range Frame,2,120,Carbon + Plastic,Integrated,30x30,FPV,Indoor FPV
FRM-0173,Foxeer,Frames,UAV Frame,Explorer Frame,8,120,Carbon,Integrated,20x20,Industrial,Explorer UAV
FRM-0174,GEPRC,Frames,UAV Frame,Explorer Frame,5,350,Carbon Fiber,Replaceable,25x25,FPV,Freestyle FPV
FRM-0175,GEPRC,Frames,UAV Frame,Whoop Frame,2.5,140,Plastic,Replaceable,16x16,FPV,Indoor FPV
FRM-0176,Armattan,Frames,UAV Frame,Whoop Frame,7,180,Plastic,Replaceable,30x30,FPV,Long Range FPV
FRM-0177,HGLRC,Frames,UAV Frame,Whoop Frame,6,140,Carbon + Aluminum,Replaceable,Whoop,FPV,Long Range FPV
FRM-0178,BetaFPV,Frames,UAV Frame,Freestyle Frame,4,350,Carbon,Integrated,30x30,FPV,Freestyle FPV
FRM-0179,GEPRC,Frames,UAV Frame,Cinewhoop Frame,7,140,Plastic,Integrated,20x20,FPV,Long Range FPV
FRM-0180,iFlight,Frames,UAV Frame,Racing Frame,3,180,Carbon + Plastic,Integrated,30x30,FPV,Micro FPV
FRM-0181,iFlight,Frames,UAV Frame,Cinewhoop Frame,9,260,Carbon Fiber,Integrated,20x20,Industrial,Long Endurance
FRM-0182,RekonFPV,Frames,UAV Frame,Whoop Frame,10,65,Carbon + Aluminum,Replaceable,30x30,Industrial,Industrial UAV
FRM-0183,Flywoo,Frames,UAV Frame,Long Range Frame,4,65,Carbon Fiber,Integrated,16x16,FPV,Freestyle FPV
FRM-0184,Flywoo,Frames,UAV Frame,Freestyle Frame,3.5,260,Carbon,Integrated,20x20,FPV,Cinematic FPV
FRM-0185,TBS,Frames,UAV Frame,Explorer Frame,7,65,Carbon + Aluminum,Replaceable,25x25,FPV,Long Range FPV
FRM-0186,Armattan,Frames,UAV Frame,Whoop Frame,7,65,Plastic,Integrated,Whoop,FPV,Long Range FPV
FRM-0187,TBS,Frames,UAV Frame,Long Range Frame,2,300,Plastic,Integrated,25x25,FPV,Indoor FPV
FRM-0188,ImpulseRC,Frames,UAV Frame,Long Range Frame,6,120,Carbon + Aluminum,Integrated,20x20,FPV,Long Range FPV
FRM-0189,BetaFPV,Frames,UAV Frame,Cinewhoop Frame,5,85,Carbon,Integrated,Whoop,FPV,Freestyle FPV
FRM-0190,RekonFPV,Frames,UAV Frame,Freestyle Frame,3,420,Plastic,Integrated,20x20,FPV,Micro FPV
FRM-0191,AxisFlying,Frames,UAV Frame,Whoop Frame,8,300,Carbon + Aluminum,Integrated,20x20,Industrial,Explorer UAV
FRM-0192,Lumenier,Frames,UAV Frame,Long Range Frame,5,120,Plastic,Integrated,30x30,FPV,Freestyle FPV
FRM-0193,RekonFPV,Frames,UAV Frame,Cinewhoop Frame,10,120,Carbon Fiber,Integrated,Whoop,Industrial,Industrial UAV
FRM-0194,Flywoo,Frames,UAV Frame,Industrial Frame,3.5,350,Plastic,Replaceable,30x30,FPV,Cinematic FPV
FRM-0195,GEPRC,Frames,UAV Frame,Freestyle Frame,5,300,Plastic,Integrated,20x20,FPV,Freestyle FPV
FRM-0196,Flywoo,Frames,UAV Frame,Industrial Frame,2,110,Carbon,Replaceable,25x25,FPV,Indoor FPV
FRM-0197,RekonFPV,Frames,UAV Frame,Racing Frame,5,65,Carbon,Replaceable,Whoop,FPV,Freestyle FPV
FRM-0198,HGLRC,Frames,UAV Frame,Explorer Frame,10,85,Carbon + Plastic,Replaceable,30x30,Industrial,Industrial UAV
FRM-0199,GEPRC,Frames,UAV Frame,Explorer Frame,6,180,Carbon + Plastic,Integrated,Whoop,FPV,Long Range FPV
FRM-0200,TBS,Frames,UAV Frame,Long Range Frame,6,85,Carbon + Plastic,Replaceable,30x30,FPV,Long Range FPV
FRM-0201,Diatone,Frames,UAV Frame,Cinewhoop Frame,10,75,Plastic,Integrated,25x25,Industrial,Industrial UAV
FRM-0202,Happymodel,Frames,UAV Frame,Cinewhoop Frame,2,65,Carbon + Aluminum,Replaceable,20x20,FPV,Indoor FPV
FRM-0203,Diatone,Frames,UAV Frame,Explorer Frame,2.5,420,Carbon + Plastic,Replaceable,25x25,FPV,Indoor FPV
FRM-0204,BetaFPV,Frames,UAV Frame,Whoop Frame,5,420,Plastic,Integrated,Whoop,FPV,Freestyle FPV
FRM-0205,HGLRC,Frames,UAV Frame,Explorer Frame,2.5,85,Carbon Fiber,Replaceable,Whoop,FPV,Indoor FPV
FRM-0206,AxisFlying,Frames,UAV Frame,Racing Frame,4,300,Plastic,Integrated,Whoop,FPV,Freestyle FPV
FRM-0207,Flywoo,Frames,UAV Frame,Cinewhoop Frame,8,75,Carbon,Replaceable,30x30,Industrial,Explorer UAV
FRM-0208,BetaFPV,Frames,UAV Frame,Freestyle Frame,10,95,Carbon + Aluminum,Integrated,25x25,Industrial,Industrial UAV
