FCID,Brand,Category,SubCategory,Processor,FormFactor,Mounting_mm,SupportedFirmware,IMU,Barometer,OSD,Blackbox,ESCInterface,ConnectorType,SupportedDroneType,IntendedUse
FC-0017,HappyModel,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,ICM20689,None,Yes,No,Onboard ESC,Solder,FPV,Whoop Racing
FC-0018,BetaFPV,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Indoor FPV
FC-0019,BetaFPV,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,ICM20689,None,Yes,No,Onboard ESC,Solder,FPV,Micro FPV
FC-0020,Flywoo,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Cinematic Micro
FC-0021,Holybro,Flight Controllers,Autopilot,Pixhawk 4,Standard,Custom,ArduPilot,ICM20689,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Mapping UAV
FC-0022,Holybro,Flight Controllers,Autopilot,Pixhawk 6C,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0023,CUAV,Flight Controllers,Autopilot,X7,Standard,Custom,ArduPilot,ICM20689,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Industrial UAV
FC-0024,CUAV,Flight Controllers,Autopilot,Nora,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,High End UAV
FC-0025,Hex Cube,Flight Controllers,Autopilot,Orange Cube,Standard,Custom,ArduPilot,ICM20649,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Mapping UAV
FC-0026,Hex Cube,Flight Controllers,Autopilot,Blue Cube,Standard,Custom,ArduPilot,ICM20602,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0027,Hex Cube,Flight Controllers,Autopilot,Black Cube,Standard,Custom,ArduPilot,ICM20948,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Research UAV
FC-0028,Holybro,Flight Controllers,Autopilot,Durandal,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Industrial UAV
FC-0029,mRo,Flight Controllers,Autopilot,Pixhawk Mini,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Small UAV
FC-0030,mRo,Flight Controllers,Autopilot,Control Zero H7,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Advanced UAV
FC-0031,SpeedyBee,Flight Controllers,FPV FC,F405,30x30,30.5,BetaFlight,MPU6000,None,Yes,No,DSHOT,Plug,FPV,Beginner
FC-0032,SpeedyBee,Flight Controllers,FPV FC,F722,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Plug,FPV,Advanced FPV
FC-0033,T-Motor,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0034,T-Motor,Flight Controllers,Industrial FC,F7,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,CAN/PWM,Connector,Industrial,Professional UAV
FC-0035,JHEMCU,Flight Controllers,FPV FC,F405,30x30,30.5,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Freestyle
FC-0036,JHEMCU,Flight Controllers,FPV FC,F722,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Solder,FPV,Advanced FPV
FC-0037,Flywoo,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro FPV
FC-0038,Flywoo,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Cinematic FPV
FC-0039,Beast F7,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Solder,FPV,Freestyle
FC-0040,Diatone,Flight Controllers,FPV FC,F722,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0041,Diatone,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop
FC-0042,Diatone,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro FPV
FC-0043,Kakute,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0044,Kakute,Flight Controllers,FPV FC,F4,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro Builds
FC-0045,Airbot,Flight Controllers,FPV FC,F7,30x30,30.5,BetaFlight,ICM42688,BMP280,Yes,Yes,DSHOT,Plug,FPV,Freestyle
FC-0046,Airbot,Flight Controllers,FPV FC,F4,30x30,30.5,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Beginner
FC-0047,CUAV,Flight Controllers,Autopilot,V5+,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0048,Holybro,Flight Controllers,Autopilot,Pixhawk Mini 4,Standard,Custom,ArduPilot,ICM20689,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Compact UAV
FC-0049,mRo,Flight Controllers,Autopilot,Pixhawk 6X Mini,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Mini Industrial UAV
FC-0050,Custom,Flight Controllers,Autopilot,Research FC,Custom,Custom,Custom,Custom,Custom,None,Optional,Custom,Custom,Industrial,Research UAV
FC-0051,SpeedyBee,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Plug,FPV,Micro Freestyle
FC-0052,SpeedyBee,Flight Controllers,FPV FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Cinematic
FC-0053,iFlight,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Plug,FPV,Micro Freestyle
FC-0054,iFlight,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Cinematic FPV
FC-0055,HGLRC,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Cinematic
FC-0056,Skystars,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Freestyle
FC-0057,CL Racing,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro Racing
FC-0058,Flywoo,Flight Controllers,FPV FC,F745,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Ultra Micro
FC-0059,JHEMCU,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro Builds
FC-0060,Airbot,Flight Controllers,FPV FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Freestyle
FC-0061,Matek,Flight Controllers,Fixed Wing FC,F405-WTE,30x30,30.5,INAV,MPU6000,BMP280,Yes,Yes,PWM/SBUS,Solder,Fixed Wing,Telemetry UAV
FC-0062,Matek,Flight Controllers,Fixed Wing FC,F722-WPX,30x30,30.5,INAV,ICM42688,BMP388,Yes,Yes,PWM/SBUS,Solder,Fixed Wing,Long Range UAV
FC-0063,Matek,Flight Controllers,Fixed Wing FC,H743-WING,30x30,30.5,INAV/ArduPilot,ICM42688,BMP388,Yes,Yes,PWM/CAN,Solder,Fixed Wing,Professional UAV
FC-0064,CUAV,Flight Controllers,Autopilot,Nora+,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Professional UAV
FC-0065,CUAV,Flight Controllers,Autopilot,X7 Pro,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Mapping UAV
FC-0066,Holybro,Flight Controllers,Autopilot,Pixhawk 5X,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0067,Holybro,Flight Controllers,Autopilot,Pixhawk 6X,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,High End UAV
FC-0068,Holybro,Flight Controllers,Autopilot,Pixhawk Mini 6C,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Compact UAV
FC-0069,Hex Cube,Flight Controllers,Autopilot,Yellow Cube,Standard,Custom,ArduPilot,ICM20602,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0070,Hex Cube,Flight Controllers,Autopilot,Green Cube,Standard,Custom,ArduPilot,ICM20948,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Research UAV
FC-0071,mRo,Flight Controllers,Autopilot,Pixhawk 5X Mini,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Compact Survey UAV
FC-0072,mRo,Flight Controllers,Autopilot,Control Zero F7,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0073,mRo,Flight Controllers,Autopilot,Control Zero H7,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Advanced UAV
FC-0074,Advanced Navigation,Flight Controllers,Autopilot,NavCube,Standard,Custom,ArduPilot,Industrial IMU,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0075,Advanced Navigation,Flight Controllers,Autopilot,Certus Evo,Standard,Custom,Custom,Industrial IMU,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,Precision UAV
FC-0076,Holybro,Flight Controllers,Autopilot,Durandal Mini,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Compact UAV
FC-0077,CUAV,Flight Controllers,Autopilot,V5 Nano,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Small UAV
FC-0078,CUAV,Flight Controllers,Autopilot,V5+ Pro,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0079,Hex Cube,Flight Controllers,Autopilot,Red Cube,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,High Reliability UAV
FC-0080,Holybro,Flight Controllers,Autopilot,Pixhawk 2.4.8,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0081,BetaFPV,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop Trainer
FC-0082,BetaFPV,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,ICM20689,None,Yes,No,Onboard ESC,Solder,FPV,Whoop Racing
FC-0083,Happymodel,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop
FC-0084,Happymodel,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,ICM20689,None,Yes,No,Onboard ESC,Solder,FPV,Micro FPV
FC-0085,Flywoo,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Micro Freestyle
FC-0086,Flywoo,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Cinematic Micro
FC-0087,Diatone,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop
FC-0088,Diatone,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Micro Cinematic
FC-0089,SpeedyBee,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Plug,FPV,Micro FPV
FC-0090,SpeedyBee,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Cinematic Micro
FC-0091,Custom,Flight Controllers,Autopilot,VTOL FC,Standard,Custom,ArduPilot,Custom IMU,Custom,None,Yes,PWM/CAN,Connector,Industrial,VTOL UAV
FC-0092,Custom,Flight Controllers,Autopilot,Redundant FC,Standard,Custom,Custom,Redundant IMUs,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,Critical UAV
FC-0093,Custom,Flight Controllers,Autopilot,AI Companion FC,Standard,Custom,Linux + ArduPilot,Custom,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,AI UAV
FC-0094,Custom,Flight Controllers,Autopilot,Swarm FC,Standard,Custom,Custom,Custom,None,None,Yes,Custom,Connector,Industrial,Swarm UAV
FC-0095,Custom,Flight Controllers,Autopilot,Marine UAV FC,Standard,Custom,Custom,Custom,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,Marine UAV
FC-0096,Custom,Flight Controllers,FPV FC,F411,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Ultra Budget
FC-0097,Custom,Flight Controllers,FPV FC,F745,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Experimental FPV
FC-0098,Custom,Flight Controllers,FPV FC,H743,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Extreme Performance
FC-0099,Custom,Flight Controllers,Autopilot,Research FC Pro,Standard,Custom,Custom,Custom,Custom,None,Yes,Custom,Connector,Industrial,Research UAV
FC-0100,SpeedyBee,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Plug,FPV,Micro Freestyle
FC-0101,SpeedyBee,Flight Controllers,FPV FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Cinematic
FC-0102,iFlight,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Plug,FPV,Micro Freestyle
FC-0103,iFlight,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Cinematic FPV
FC-0104,HGLRC,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Cinematic
FC-0105,Skystars,Flight Controllers,FPV FC,F722,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Freestyle
FC-0106,CL Racing,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro Racing
FC-0107,Flywoo,Flight Controllers,FPV FC,F745,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Ultra Micro
FC-0108,JHEMCU,Flight Controllers,FPV FC,F405,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Micro Builds
FC-0109,Airbot,Flight Controllers,FPV FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,DSHOT,Plug,FPV,Micro Freestyle
FC-0110,Matek,Flight Controllers,Fixed Wing FC,F405-WTE,30x30,30.5,INAV,MPU6000,BMP280,Yes,Yes,PWM/SBUS,Solder,Fixed Wing,Telemetry UAV
FC-0111,Matek,Flight Controllers,Fixed Wing FC,F722-WPX,30x30,30.5,INAV,ICM42688,BMP388,Yes,Yes,PWM/SBUS,Solder,Fixed Wing,Long Range UAV
FC-0112,Matek,Flight Controllers,Fixed Wing FC,H743-WING,30x30,30.5,INAV/ArduPilot,ICM42688,BMP388,Yes,Yes,PWM/CAN,Solder,Fixed Wing,Professional UAV
FC-0113,CUAV,Flight Controllers,Autopilot,Nora+,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Professional UAV
FC-0114,CUAV,Flight Controllers,Autopilot,X7 Pro,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Mapping UAV
FC-0115,Holybro,Flight Controllers,Autopilot,Pixhawk 5X,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0116,Holybro,Flight Controllers,Autopilot,Pixhawk 6X,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,High End UAV
FC-0117,Holybro,Flight Controllers,Autopilot,Pixhawk Mini 6C,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Compact UAV
FC-0118,Hex Cube,Flight Controllers,Autopilot,Yellow Cube,Standard,Custom,ArduPilot,ICM20602,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0119,Hex Cube,Flight Controllers,Autopilot,Green Cube,Standard,Custom,ArduPilot,ICM20948,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Research UAV
FC-0120,mRo,Flight Controllers,Autopilot,Pixhawk 5X Mini,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Compact Survey UAV
FC-0121,mRo,Flight Controllers,Autopilot,Control Zero F7,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0122,mRo,Flight Controllers,Autopilot,Control Zero H7,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Advanced UAV
FC-0123,Advanced Navigation,Flight Controllers,Autopilot,NavCube,Standard,Custom,ArduPilot,Industrial IMU,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0124,Advanced Navigation,Flight Controllers,Autopilot,Certus Evo,Standard,Custom,Custom,Industrial IMU,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,Precision UAV
FC-0125,Holybro,Flight Controllers,Autopilot,Durandal Mini,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Compact UAV
FC-0126,CUAV,Flight Controllers,Autopilot,V5 Nano,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Small UAV
FC-0127,CUAV,Flight Controllers,Autopilot,V5+ Pro,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,Survey UAV
FC-0128,Hex Cube,Flight Controllers,Autopilot,Red Cube,Standard,Custom,ArduPilot,ICM42688,BMP388,None,Yes,PWM/CAN,Connector,Industrial,High Reliability UAV
FC-0129,Holybro,Flight Controllers,Autopilot,Pixhawk 2.4.8,Standard,Custom,ArduPilot,MPU6000,BMP280,None,Yes,PWM/CAN,Connector,Industrial,Legacy UAV
FC-0130,BetaFPV,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop Trainer
FC-0131,BetaFPV,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,ICM20689,None,Yes,No,Onboard ESC,Solder,FPV,Whoop Racing
FC-0132,Happymodel,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop
FC-0133,Happymodel,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,ICM20689,None,Yes,No,Onboard ESC,Solder,FPV,Micro FPV
FC-0134,Flywoo,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Micro Freestyle
FC-0135,Flywoo,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Cinematic Micro
FC-0136,Diatone,Flight Controllers,AIO FC,F4,Whoop,25.5,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Solder,FPV,Whoop
FC-0137,Diatone,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Micro Cinematic
FC-0138,SpeedyBee,Flight Controllers,AIO FC,F4,20x20,20,BetaFlight,MPU6000,None,Yes,No,Onboard ESC,Plug,FPV,Micro FPV
FC-0139,SpeedyBee,Flight Controllers,AIO FC,F7,20x20,20,BetaFlight,ICM42688,None,Yes,Yes,Onboard ESC,Plug,FPV,Cinematic Micro
FC-0140,Custom,Flight Controllers,Autopilot,VTOL FC,Standard,Custom,ArduPilot,Custom IMU,Custom,None,Yes,PWM/CAN,Connector,Industrial,VTOL UAV
FC-0141,Custom,Flight Controllers,Autopilot,Redundant FC,Standard,Custom,Custom,Redundant IMUs,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,Critical UAV
FC-0142,Custom,Flight Controllers,Autopilot,AI Companion FC,Standard,Custom,Linux + ArduPilot,Custom,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,AI UAV
FC-0143,Custom,Flight Controllers,Autopilot,Swarm FC,Standard,Custom,Custom,Custom,None,None,Yes,Custom,Connector,Industrial,Swarm UAV
FC-0144,Custom,Flight Controllers,Autopilot,Marine UAV FC,Standard,Custom,Custom,Custom,Custom,None,Yes,CAN/Ethernet,Connector,Industrial,Marine UAV
FC-0145,Custom,Flight Controllers,FPV FC,F411,20x20,20,BetaFlight,MPU6000,None,Yes,No,DSHOT,Solder,FPV,Ultra Budget
FC-0146,Custom,Flight Controllers,FPV FC,F745,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Experimental FPV
FC-0147,Custom,Flight Controllers,FPV FC,H743,30x30,30.5,BetaFlight,ICM42688,BMP388,Yes,Yes,DSHOT,Plug,FPV,Extreme Performance
FC-0148,Custom,Flight Controllers,Autopilot,Research FC Pro,Standard,Custom,Custom,Custom,Custom,None,Yes,Custom,Connector,Industrial,Research UAV
FC-0149,Flywoo,Flight Controller,FC Board,F405,Mini FC,16x16,Betaflight,ICM42688,No,Yes,None,DShot600,JST,FPV,Freestyle FPV
FC-0150,Foxeer,Flight Controller,FC Board,H743,AIO,16x16,INAV,ICM20689,No,Yes,16MB,PWM,JST,FPV,Cinematic FPV
FC-0151,EMAX,Flight Controller,FC Board,F405,Mini FC,20x20,INAV,ICM42688,No,Yes,None,DShot300,Direct Solder,FPV,Racing FPV
FC-0152,HGLRC,Flight Controller,FC Board,F745,Whoop FC,30x30,Betaflight,ICM42688,Yes,Yes,32MB,DShot300,Direct Solder,FPV,Racing FPV
FC-0153,Holybro,Flight Controller,FC Board,F745,AIO,20x20,ArduPilot,ICM42688,No,Yes,16MB,PWM,Plug,FPV,Long Range FPV
FC-0154,HGLRC,Flight Controller,FC Board,H743,Stack FC,30x30,ArduPilot,BMI270,No,Yes,64MB,DShot1200,JST,FPV,Long Range FPV
FC-0155,RushFPV,Flight Controller,FC Board,F411,Whoop FC,20x20,ArduPilot,ICM42688,No,Yes,64MB,DShot300,Direct Solder,FPV,Long Range FPV
FC-0156,GEPRC,Flight Controller,FC Board,F765,AIO,20x20,ArduPilot,ICM20689,Yes,Yes,16MB,DShot300,JST,Industrial,Industrial UAV
FC-0157,Matek,Flight Controller,FC Board,F722,Whoop FC,30x30,ArduPilot,ICM20689,No,Yes,16MB,DShot1200,JST,FPV,Cinematic FPV
FC-0158,GEPRC,Flight Controller,FC Board,F722,Whoop FC,30x30,Betaflight,BMI270,Yes,Yes,64MB,DShot600,Direct Solder,FPV,Racing FPV
FC-0159,Matek,Flight Controller,FC Board,F405,AIO,16x16,INAV,ICM42688,Yes,Yes,16MB,DShot1200,Direct Solder,Industrial,Industrial UAV
FC-0160,Skystars,Flight Controller,FC Board,F745,Whoop FC,16x16,Betaflight,MPU6000,No,Yes,64MB,DShot300,JST,FPV,Freestyle FPV
FC-0161,RushFPV,Flight Controller,FC Board,F411,AIO,30x30,ArduPilot,ICM42688,Yes,Yes,32MB,DShot300,Direct Solder,FPV,Cinematic FPV
FC-0162,Flywoo,Flight Controller,FC Board,H743,Stack FC,25.5x25.5,Betaflight,BMI270,No,Yes,None,DShot600,Direct Solder,FPV,Freestyle FPV
FC-0163,Flywoo,Flight Controller,FC Board,F722,AIO,16x16,INAV,BMI270,No,Yes,None,PWM,Plug,Industrial,Industrial UAV
