MotorID,PropellerID,CompatibilityLevel,RecommendedUse
MTR-0136,PROP-0151,Performance,Racing FPV
MTR-0007,PROP-0275,Performance,Long Range FPV
MTR-0468,PROP-0286,Performance,Long Range FPV
MTR-0497,PROP-0272,Recommended,Cinematic FPV
MTR-0252,PROP-0240,Safe,Racing FPV
MTR-0212,PROP-0101,Safe,Long Range FPV
MTR-0216,PROP-0016,Performance,Racing FPV
MTR-0310,PROP-0078,Performance,Cinematic FPV
MTR-0212,PROP-0271,Safe,Cinematic FPV
MTR-0377,PROP-0115,Recommended,Cinematic FPV
MTR-0194,PROP-0192,Recommended,Racing FPV
MTR-0356,PROP-0274,Performance,Racing FPV
MTR-0230,PROP-0283,Safe,Racing FPV
MTR-0142,PROP-0018,Performance,Long Range FPV
MTR-0273,PROP-0245,Safe,Racing FPV
MTR-0036,PROP-0160,Safe,Cinematic FPV
MTR-0245,PROP-0056,Safe,Cinematic FPV
MTR-0191,PROP-0082,Safe,Racing FPV
MTR-0003,PROP-0078,Performance,Long Range FPV
MTR-0356,PROP-0139,Safe,Cinematic FPV
MTR-0421,PROP-0292,Safe,Freestyle FPV
MTR-0130,PROP-0023,Safe,Freestyle FPV
MTR-0076,PROP-0181,Performance,Long Range FPV
MTR-0243,PROP-0223,Performance,Long Range FPV
MTR-0418,PROP-0080,Performance,Racing FPV
MTR-0375,PROP-0285,Recommended,Long Range FPV
MTR-0195,PROP-0289,Recommended,Long Range FPV
MTR-0469,PROP-0170,Recommended,Freestyle FPV
MTR-0080,PROP-0213,Performance,Cinematic FPV
MTR-0369,PROP-0291,Performance,Freestyle FPV
MTR-0111,PROP-0017,Safe,Racing FPV
MTR-0427,PROP-0200,Safe,Racing FPV
MTR-0370,PROP-0072,Performance,Racing FPV
MTR-0267,PROP-0216,Recommended,Racing FPV
MTR-0478,PROP-0158,Recommended,Racing FPV
MTR-0244,PROP-0256,Recommended,Cinematic FPV
MTR-0499,PROP-0243,Recommended,Long Range FPV
MTR-0328,PROP-0006,Recommended,Long Range FPV
MTR-0116,PROP-0036,Recommended,Cinematic FPV
MTR-0226,PROP-0240,Safe,Long Range FPV
MTR-0156,PROP-0156,Safe,Long Range FPV
MTR-0018,PROP-0091,Safe,Racing FPV
MTR-0055,PROP-0152,Performance,Cinematic FPV
MTR-0478,PROP-0299,Recommended,Racing FPV
MTR-0354,PROP-0050,Performance,Long Range FPV
MTR-0158,PROP-0195,Recommended,Racing FPV
MTR-0058,PROP-0152,Performance,Racing FPV
MTR-0404,PROP-0147,Safe,Freestyle FPV
MTR-0293,PROP-0229,Recommended,Long Range FPV
MTR-0454,PROP-0280,Recommended,Racing FPV
MTR-0151,PROP-0259,Safe,Freestyle FPV
MTR-0342,PROP-0122,Recommended,Freestyle FPV
MTR-0208,PROP-0167,Safe,Racing FPV
MTR-0178,PROP-0052,Recommended,Freestyle FPV
MTR-0240,PROP-0190,Recommended,Long Range FPV
MTR-0301,PROP-0130,Safe,Freestyle FPV
MTR-0238,PROP-0294,Performance,Cinematic FPV
MTR-0462,PROP-0020,Safe,Long Range FPV
MTR-0141,PROP-0230,Performance,Cinematic FPV
MTR-0313,PROP-0254,Recommended,Racing FPV
MTR-0234,PROP-0127,Performance,Cinematic FPV
MTR-0439,PROP-0044,Recommended,Cinematic FPV
MTR-0144,PROP-0218,Performance,Freestyle FPV
MTR-0291,PROP-0052,Performance,Long Range FPV
MTR-0037,PROP-0181,Safe,Freestyle FPV
MTR-0301,PROP-0120,Performance,Long Range FPV
MTR-0370,PROP-0140,Recommended,Racing FPV
MTR-0499,PROP-0040,Performance,Cinematic FPV
MTR-0225,PROP-0254,Performance,Freestyle FPV
MTR-0286,PROP-0170,Recommended,Cinematic FPV
MTR-0261,PROP-0113,Recommended,Racing FPV
MTR-0161,PROP-0193,Safe,Freestyle FPV
MTR-0392,PROP-0280,Performance,Cinematic FPV
MTR-0022,PROP-0288,Recommended,Cinematic FPV
MTR-0356,PROP-0262,Performance,Cinematic FPV
MTR-0226,PROP-0112,Safe,Long Range FPV
MTR-0480,PROP-0209,Safe,Freestyle FPV
MTR-0398,PROP-0184,Safe,Freestyle FPV
MTR-0372,PROP-0121,Recommended,Racing FPV
MTR-0454,PROP-0043,Safe,Long Range FPV
MTR-0067,PROP-0170,Performance,Cinematic FPV
MTR-0459,PROP-0127,Safe,Racing FPV
MTR-0094,PROP-0182,Recommended,Long Range FPV
MTR-0089,PROP-0051,Recommended,Freestyle FPV
MTR-0424,PROP-0063,Recommended,Freestyle FPV
MTR-0381,PROP-0168,Performance,Freestyle FPV
MTR-0462,PROP-0251,Performance,Cinematic FPV
MTR-0310,PROP-0225,Safe,Freestyle FPV
MTR-0028,PROP-0233,Recommended,Long Range FPV
MTR-0448,PROP-0035,Recommended,Long Range FPV
MTR-0154,PROP-0292,Performance,Long Range FPV
MTR-0372,PROP-0028,Safe,Cinematic FPV
MTR-0337,PROP-0147,Safe,Cinematic FPV
MTR-0331,PROP-0094,Performance,Freestyle FPV
MTR-0104,PROP-0010,Safe,Cinematic FPV
MTR-0376,PROP-0003,Recommended,Long Range FPV
MTR-0061,PROP-0256,Safe,Racing FPV
MTR-0317,PROP-0193,Safe,Long Range FPV
MTR-0100,PROP-0050,Safe,Racing FPV
MTR-0277,PROP-0200,Performance,Racing FPV
MTR-0116,PROP-0234,Performance,Racing FPV
MTR-0374,PROP-0005,Safe,Freestyle FPV
MTR-0215,PROP-0105,Safe,Long Range FPV
MTR-0237,PROP-0098,Performance,Racing FPV
MTR-0081,PROP-0254,Recommended,Cinematic FPV
MTR-0028,PROP-0217,Safe,Freestyle FPV
MTR-0022,PROP-0134,Performance,Long Range FPV
MTR-0190,PROP-0213,Performance,Freestyle FPV
MTR-0223,PROP-0255,Performance,Cinematic FPV
MTR-0063,PROP-0255,Recommended,Long Range FPV
MTR-0231,PROP-0215,Safe,Racing FPV
MTR-0429,PROP-0053,Safe,Cinematic FPV
MTR-0323,PROP-0271,Recommended,Racing FPV
MTR-0168,PROP-0147,Performance,Cinematic FPV
MTR-0346,PROP-0211,Safe,Long Range FPV
MTR-0463,PROP-0048,Recommended,Long Range FPV
MTR-0487,PROP-0290,Performance,Cinematic FPV
MTR-0474,PROP-0054,Recommended,Racing FPV
MTR-0046,PROP-0103,Recommended,Long Range FPV
MTR-0454,PROP-0050,Safe,Long Range FPV
MTR-0205,PROP-0132,Recommended,Cinematic FPV
MTR-0099,PROP-0143,Recommended,Cinematic FPV
MTR-0404,PROP-0234,Safe,Cinematic FPV
MTR-0274,PROP-0016,Recommended,Long Range FPV
MTR-0156,PROP-0101,Performance,Long Range FPV
MTR-0363,PROP-0038,Safe,Racing FPV
MTR-0343,PROP-0280,Performance,Long Range FPV
MTR-0037,PROP-0042,Performance,Freestyle FPV
MTR-0333,PROP-0239,Recommended,Long Range FPV
MTR-0031,PROP-0064,Safe,Racing FPV
MTR-0275,PROP-0104,Performance,Racing FPV
MTR-0489,PROP-0289,Performance,Freestyle FPV
MTR-0496,PROP-0220,Recommended,Racing FPV
MTR-0451,PROP-0014,Safe,Racing FPV
MTR-0491,PROP-0104,Safe,Racing FPV
MTR-0077,PROP-0052,Safe,Freestyle FPV
MTR-0007,PROP-0177,Performance,Long Range FPV
MTR-0001,PROP-0203,Performance,Cinematic FPV
MTR-0228,PROP-0186,Safe,Freestyle FPV
MTR-0464,PROP-0182,Recommended,Long Range FPV
MTR-0330,PROP-0117,Performance,Cinematic FPV
MTR-0170,PROP-0184,Safe,Long Range FPV
MTR-0205,PROP-0062,Recommended,Long Range FPV
MTR-0482,PROP-0169,Performance,Racing FPV
MTR-0239,PROP-0231,Recommended,Long Range FPV
MTR-0498,PROP-0197,Recommended,Freestyle FPV
MTR-0208,PROP-0242,Performance,Cinematic FPV
MTR-0064,PROP-0042,Performance,Freestyle FPV
MTR-0438,PROP-0234,Safe,Long Range FPV
MTR-0125,PROP-0166,Performance,Cinematic FPV
MTR-0437,PROP-0269,Recommended,Long Range FPV
MTR-0140,PROP-0279,Safe,Long Range FPV
MTR-0091,PROP-0202,Performance,Racing FPV
MTR-0179,PROP-0300,Recommended,Racing FPV
MTR-0204,PROP-0006,Recommended,Freestyle FPV
MTR-0113,PROP-0263,Performance,Cinematic FPV
MTR-0187,PROP-0231,Safe,Racing FPV
MTR-0272,PROP-0277,Safe,Racing FPV
MTR-0358,PROP-0173,Recommended,Long Range FPV
MTR-0324,PROP-0088,Recommended,Cinematic FPV
MTR-0439,PROP-0243,Recommended,Long Range FPV
MTR-0496,PROP-0174,Safe,Racing FPV
MTR-0437,PROP-0127,Performance,Freestyle FPV
MTR-0084,PROP-0105,Performance,Racing FPV
MTR-0145,PROP-0034,Performance,Racing FPV
MTR-0450,PROP-0014,Recommended,Long Range FPV
MTR-0044,PROP-0179,Safe,Freestyle FPV
MTR-0307,PROP-0218,Performance,Cinematic FPV
MTR-0184,PROP-0029,Safe,Long Range FPV
MTR-0311,PROP-0274,Recommended,Freestyle FPV
MTR-0010,PROP-0002,Recommended,Long Range FPV
MTR-0393,PROP-0087,Performance,Racing FPV
MTR-0057,PROP-0184,Safe,Racing FPV
MTR-0363,PROP-0032,Safe,Freestyle FPV
MTR-0379,PROP-0179,Performance,Long Range FPV
MTR-0487,PROP-0175,Performance,Freestyle FPV
MTR-0347,PROP-0169,Recommended,Racing FPV
MTR-0340,PROP-0096,Recommended,Long Range FPV
MTR-0370,PROP-0241,Performance,Long Range FPV
MTR-0251,PROP-0085,Safe,Cinematic FPV
MTR-0407,PROP-0170,Safe,Racing FPV
MTR-0409,PROP-0201,Safe,Long Range FPV
MTR-0495,PROP-0187,Performance,Long Range FPV
MTR-0325,PROP-0155,Recommended,Freestyle FPV
MTR-0193,PROP-0241,Recommended,Racing FPV
MTR-0447,PROP-0130,Performance,Racing FPV
MTR-0452,PROP-0187,Performance,Freestyle FPV
MTR-0137,PROP-0154,Safe,Cinematic FPV
MTR-0420,PROP-0033,Performance,Long Range FPV
MTR-0276,PROP-0126,Performance,Long Range FPV
MTR-0072,PROP-0186,Recommended,Long Range FPV
MTR-0129,PROP-0030,Performance,Cinematic FPV
MTR-0270,PROP-0205,Performance,Long Range FPV
MTR-0291,PROP-0169,Recommended,Cinematic FPV
MTR-0474,PROP-0104,Safe,Long Range FPV
MTR-0223,PROP-0187,Safe,Long Range FPV
MTR-0176,PROP-0263,Recommended,Racing FPV
MTR-0283,PROP-0268,Safe,Cinematic FPV
MTR-0422,PROP-0026,Performance,Long Range FPV
MTR-0278,PROP-0196,Safe,Long Range FPV
MTR-0169,PROP-0262,Safe,Cinematic FPV
MTR-0126,PROP-0218,Recommended,Racing FPV
MTR-0405,PROP-0034,Safe,Long Range FPV
MTR-0296,PROP-0033,Safe,Long Range FPV
MTR-0138,PROP-0004,Safe,Racing FPV
MTR-0058,PROP-0232,Safe,Racing FPV
MTR-0370,PROP-0060,Recommended,Racing FPV
MTR-0460,PROP-0034,Recommended,Long Range FPV
MTR-0098,PROP-0009,Performance,Freestyle FPV
MTR-0226,PROP-0299,Recommended,Racing FPV
MTR-0029,PROP-0207,Safe,Freestyle FPV
MTR-0124,PROP-0223,Performance,Long Range FPV
MTR-0158,PROP-0174,Recommended,Cinematic FPV
MTR-0158,PROP-0221,Safe,Freestyle FPV
MTR-0111,PROP-0052,Performance,Racing FPV
MTR-0387,PROP-0265,Performance,Freestyle FPV
MTR-0448,PROP-0175,Recommended,Freestyle FPV
MTR-0278,PROP-0126,Performance,Freestyle FPV
MTR-0291,PROP-0257,Performance,Cinematic FPV
MTR-0261,PROP-0155,Safe,Freestyle FPV
MTR-0171,PROP-0054,Safe,Racing FPV
MTR-0252,PROP-0288,Recommended,Long Range FPV
MTR-0433,PROP-0034,Recommended,Racing FPV
MTR-0137,PROP-0091,Safe,Cinematic FPV
MTR-0086,PROP-0007,Safe,Cinematic FPV
MTR-0018,PROP-0262,Recommended,Racing FPV
MTR-0241,PROP-0053,Safe,Long Range FPV
MTR-0257,PROP-0199,Performance,Freestyle FPV
MTR-0490,PROP-0046,Safe,Freestyle FPV
MTR-0140,PROP-0276,Safe,Cinematic FPV
MTR-0415,PROP-0259,Performance,Freestyle FPV
MTR-0407,PROP-0131,Performance,Freestyle FPV
MTR-0013,PROP-0156,Safe,Long Range FPV
MTR-0411,PROP-0130,Safe,Racing FPV
MTR-0295,PROP-0250,Recommended,Long Range FPV
MTR-0470,PROP-0217,Recommended,Freestyle FPV
MTR-0012,PROP-0278,Recommended,Long Range FPV
MTR-0297,PROP-0194,Recommended,Long Range FPV
MTR-0001,PROP-0067,Recommended,Racing FPV
MTR-0216,PROP-0281,Performance,Freestyle FPV
MTR-0398,PROP-0050,Safe,Freestyle FPV
MTR-0097,PROP-0264,Performance,Freestyle FPV
MTR-0259,PROP-0041,Performance,Long Range FPV
MTR-0218,PROP-0289,Safe,Long Range FPV
MTR-0418,PROP-0191,Safe,Cinematic FPV
MTR-0219,PROP-0001,Performance,Long Range FPV
MTR-0092,PROP-0018,Performance,Freestyle FPV
MTR-0156,PROP-0038,Performance,Freestyle FPV
MTR-0445,PROP-0257,Recommended,Freestyle FPV
MTR-0416,PROP-0260,Safe,Racing FPV
MTR-0053,PROP-0183,Performance,Freestyle FPV
MTR-0490,PROP-0095,Performance,Cinematic FPV
MTR-0006,PROP-0034,Performance,Cinematic FPV
MTR-0016,PROP-0083,Performance,Freestyle FPV
MTR-0234,PROP-0236,Performance,Racing FPV
MTR-0500,PROP-0259,Performance,Long Range FPV
MTR-0108,PROP-0193,Recommended,Racing FPV
MTR-0164,PROP-0016,Recommended,Cinematic FPV
MTR-0051,PROP-0147,Performance,Long Range FPV
MTR-0362,PROP-0132,Safe,Racing FPV
MTR-0309,PROP-0029,Safe,Racing FPV
MTR-0197,PROP-0228,Performance,Cinematic FPV
MTR-0224,PROP-0050,Recommended,Racing FPV
MTR-0266,PROP-0272,Recommended,Racing FPV
MTR-0260,PROP-0141,Recommended,Racing FPV
MTR-0156,PROP-0034,Performance,Freestyle FPV
MTR-0085,PROP-0123,Safe,Cinematic FPV
MTR-0428,PROP-0117,Recommended,Long Range FPV
MTR-0012,PROP-0050,Performance,Racing FPV
MTR-0031,PROP-0181,Performance,Long Range FPV
MTR-0041,PROP-0062,Recommended,Cinematic FPV
MTR-0080,PROP-0035,Recommended,Racing FPV
MTR-0439,PROP-0226,Recommended,Racing FPV
MTR-0049,PROP-0155,Safe,Long Range FPV
MTR-0242,PROP-0174,Safe,Racing FPV
MTR-0379,PROP-0074,Recommended,Racing FPV
MTR-0435,PROP-0151,Recommended,Cinematic FPV
MTR-0238,PROP-0211,Recommended,Cinematic FPV
MTR-0360,PROP-0051,Performance,Freestyle FPV
MTR-0195,PROP-0155,Performance,Freestyle FPV
MTR-0122,PROP-0200,Recommended,Freestyle FPV
MTR-0251,PROP-0180,Recommended,Racing FPV
MTR-0269,PROP-0014,Safe,Cinematic FPV
MTR-0242,PROP-0262,Recommended,Cinematic FPV
MTR-0076,PROP-0114,Recommended,Racing FPV
MTR-0032,PROP-0070,Recommended,Racing FPV
MTR-0406,PROP-0041,Performance,Cinematic FPV
MTR-0340,PROP-0132,Recommended,Freestyle FPV
MTR-0474,PROP-0087,Recommended,Long Range FPV
MTR-0336,PROP-0240,Recommended,Freestyle FPV
MTR-0002,PROP-0111,Performance,Racing FPV
MTR-0114,PROP-0280,Performance,Freestyle FPV
MTR-0416,PROP-0041,Recommended,Freestyle FPV
MTR-0247,PROP-0078,Safe,Freestyle FPV
MTR-0188,PROP-0160,Performance,Racing FPV
MTR-0255,PROP-0080,Safe,Long Range FPV
MTR-0203,PROP-0038,Recommended,Freestyle FPV
MTR-0028,PROP-0197,Safe,Long Range FPV
MTR-0429,PROP-0218,Recommended,Racing FPV
MTR-0336,PROP-0204,Safe,Cinematic FPV
MTR-0423,PROP-0062,Safe,Cinematic FPV
MTR-0253,PROP-0014,Performance,Racing FPV
MTR-0206,PROP-0260,Safe,Racing FPV
MTR-0284,PROP-0298,Recommended,Freestyle FPV
MTR-0448,PROP-0082,Recommended,Long Range FPV
MTR-0031,PROP-0108,Safe,Cinematic FPV
MTR-0479,PROP-0212,Performance,Cinematic FPV
MTR-0107,PROP-0076,Safe,Racing FPV
MTR-0346,PROP-0003,Recommended,Long Range FPV
MTR-0470,PROP-0148,Recommended,Racing FPV
MTR-0428,PROP-0025,Recommended,Long Range FPV
MTR-0130,PROP-0128,Safe,Long Range FPV
MTR-0078,PROP-0170,Recommended,Racing FPV
MTR-0204,PROP-0080,Safe,Freestyle FPV
MTR-0083,PROP-0114,Recommended,Freestyle FPV
MTR-0085,PROP-0188,Performance,Cinematic FPV
MTR-0439,PROP-0196,Safe,Cinematic FPV
MTR-0362,PROP-0228,Performance,Freestyle FPV
MTR-0156,PROP-0260,Safe,Racing FPV
MTR-0128,PROP-0117,Safe,Racing FPV
MTR-0083,PROP-0164,Safe,Long Range FPV
MTR-0076,PROP-0092,Performance,Cinematic FPV
MTR-0157,PROP-0007,Performance,Freestyle FPV
MTR-0092,PROP-0142,Performance,Long Range FPV
MTR-0171,PROP-0154,Safe,Racing FPV
MTR-0178,PROP-0099,Recommended,Freestyle FPV
MTR-0376,PROP-0270,Safe,Freestyle FPV
MTR-0378,PROP-0300,Performance,Cinematic FPV
MTR-0489,PROP-0243,Performance,Long Range FPV
MTR-0306,PROP-0256,Safe,Racing FPV
MTR-0195,PROP-0150,Safe,Freestyle FPV
MTR-0181,PROP-0211,Performance,Racing FPV
MTR-0278,PROP-0012,Performance,Freestyle FPV
MTR-0291,PROP-0063,Safe,Racing FPV
MTR-0255,PROP-0279,Performance,Racing FPV
MTR-0381,PROP-0001,Recommended,Long Range FPV
MTR-0012,PROP-0277,Performance,Freestyle FPV
MTR-0370,PROP-0233,Safe,Long Range FPV
MTR-0178,PROP-0284,Recommended,Cinematic FPV
MTR-0186,PROP-0275,Safe,Freestyle FPV
MTR-0087,PROP-0082,Recommended,Racing FPV
MTR-0414,PROP-0093,Recommended,Cinematic FPV
MTR-0306,PROP-0162,Recommended,Racing FPV
MTR-0135,PROP-0036,Recommended,Freestyle FPV
MTR-0467,PROP-0062,Performance,Freestyle FPV
MTR-0195,PROP-0224,Recommended,Long Range FPV
MTR-0445,PROP-0088,Performance,Long Range FPV
MTR-0091,PROP-0258,Safe,Long Range FPV
MTR-0070,PROP-0227,Safe,Freestyle FPV
MTR-0133,PROP-0149,Recommended,Racing FPV
MTR-0427,PROP-0268,Performance,Racing FPV
MTR-0280,PROP-0184,Performance,Racing FPV
MTR-0492,PROP-0235,Performance,Cinematic FPV
MTR-0483,PROP-0028,Safe,Cinematic FPV
MTR-0011,PROP-0071,Recommended,Freestyle FPV
MTR-0299,PROP-0184,Safe,Racing FPV
MTR-0298,PROP-0162,Safe,Freestyle FPV
MTR-0348,PROP-0019,Performance,Cinematic FPV
MTR-0257,PROP-0225,Recommended,Cinematic FPV
MTR-0448,PROP-0132,Safe,Racing FPV
MTR-0294,PROP-0002,Performance,Long Range FPV
MTR-0249,PROP-0080,Performance,Racing FPV
MTR-0265,PROP-0272,Safe,Long Range FPV
MTR-0295,PROP-0102,Performance,Racing FPV
MTR-0084,PROP-0240,Safe,Freestyle FPV
MTR-0176,PROP-0131,Safe,Freestyle FPV
MTR-0163,PROP-0257,Safe,Racing FPV
MTR-0316,PROP-0147,Recommended,Long Range FPV
MTR-0128,PROP-0039,Recommended,Long Range FPV
MTR-0339,PROP-0295,Recommended,Cinematic FPV
MTR-0308,PROP-0039,Safe,Cinematic FPV
MTR-0005,PROP-0292,Safe,Racing FPV
MTR-0470,PROP-0202,Safe,Cinematic FPV
MTR-0164,PROP-0054,Safe,Long Range FPV
MTR-0158,PROP-0057,Recommended,Freestyle FPV
MTR-0093,PROP-0209,Recommended,Racing FPV
MTR-0277,PROP-0067,Recommended,Freestyle FPV
MTR-0200,PROP-0090,Performance,Cinematic FPV
MTR-0145,PROP-0073,Safe,Long Range FPV
MTR-0377,PROP-0135,Safe,Cinematic FPV
MTR-0253,PROP-0273,Recommended,Freestyle FPV
MTR-0013,PROP-0095,Safe,Racing FPV
MTR-0230,PROP-0041,Performance,Racing FPV
MTR-0170,PROP-0182,Performance,Racing FPV
MTR-0183,PROP-0093,Safe,Freestyle FPV
MTR-0017,PROP-0090,Recommended,Racing FPV
MTR-0154,PROP-0057,Performance,Long Range FPV
MTR-0187,PROP-0137,Performance,Long Range FPV
MTR-0005,PROP-0170,Performance,Cinematic FPV
MTR-0408,PROP-0127,Safe,Racing FPV
MTR-0407,PROP-0209,Recommended,Racing FPV
MTR-0232,PROP-0073,Performance,Cinematic FPV
MTR-0024,PROP-0037,Safe,Racing FPV
MTR-0233,PROP-0077,Recommended,Cinematic FPV
MTR-0068,PROP-0155,Safe,Racing FPV
MTR-0390,PROP-0046,Safe,Freestyle FPV
MTR-0114,PROP-0290,Safe,Cinematic FPV
MTR-0056,PROP-0012,Performance,Freestyle FPV
MTR-0045,PROP-0282,Safe,Cinematic FPV
MTR-0127,PROP-0130,Performance,Long Range FPV
MTR-0240,PROP-0182,Recommended,Freestyle FPV
MTR-0402,PROP-0117,Safe,Freestyle FPV
MTR-0443,PROP-0162,Safe,Cinematic FPV
