VTXID,Brand,Category,SubCategory,VideoSystem,FrequencyBand,OutputPower_mW,ChannelCount,InputVoltage,AntennaConnector,ControlProtocol,MountPattern_mm,AntennaType,SupportedDroneType,IntendedUse
VTX-0018,SpeedyBee,Video Transmitter,FPV VTX,Analog,1.3GHz,25,8,5V,SMA,MSP,Whoop,Linear,FPV,Racing FPV
VTX-0019,BetaFPV,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,100,8,5V,SMA,MSP,20x20,Circular,FPV,Long Range FPV
VTX-0020,Foxeer,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,1600,40,2-6S,U.FL,Tramp,25.5x25.5,Linear,FPV,Long Range FPV
VTX-0021,AKK,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,100,40,7-26V,SMA,SmartAudio,30x30,Circular,FPV,Racing FPV
VTX-0022,BetaFPV,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,500,16,7-26V,SMA,None,20x20,LHCP,FPV,Freestyle FPV
VTX-0023,AKK,Video Transmitter,FPV VTX,Analog,5.8GHz,500,32,2-6S,U.FL,MSP,Whoop,RHCP,FPV,Cinematic FPV
VTX-0024,TBS,Video Transmitter,FPV VTX,HD Digital,5.8GHz,1000,8,3-6S,RP-SMA,Tramp,25.5x25.5,LHCP,FPV,Cinematic FPV
VTX-0025,AKK,Video Transmitter,FPV VTX,HDZero,1.3GHz,400,40,2-6S,RP-SMA,MSP,Whoop,Circular,Industrial,Industrial UAV
VTX-0026,TBS,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,1000,40,7-26V,RP-SMA,Tramp,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0027,Eachine,Video Transmitter,FPV VTX,HDZero,1.3GHz,25,8,7-26V,U.FL,Tramp,Whoop,Linear,FPV,Freestyle FPV
VTX-0028,TBS,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,25,16,7-26V,MMCX,Tramp,30x30,LHCP,FPV,Racing FPV
VTX-0029,AKK,Video Transmitter,FPV VTX,HDZero,2.4GHz,200,8,7-26V,U.FL,SmartAudio,Whoop,LHCP,FPV,Freestyle FPV
VTX-0030,iFlight,Video Transmitter,FPV VTX,HDZero,1.3GHz,25,16,2-6S,RP-SMA,None,20x20,LHCP,FPV,Cinematic FPV
VTX-0031,Flywoo,Video Transmitter,FPV VTX,Analog,5.8GHz,1000,16,3-6S,RP-SMA,SmartAudio,Whoop,LHCP,FPV,Racing FPV
VTX-0032,Foxeer,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,25,16,5V,RP-SMA,MSP,Whoop,RHCP,FPV,Freestyle FPV
VTX-0033,Eachine,Video Transmitter,FPV VTX,Walksnail,5.8GHz,400,16,7-26V,MMCX,None,Whoop,Linear,Industrial,Industrial UAV
VTX-0034,Walksnail,Video Transmitter,FPV VTX,HDZero,2.4GHz,100,16,5V,SMA,None,25.5x25.5,RHCP,FPV,Long Range FPV
VTX-0035,iFlight,Video Transmitter,FPV VTX,Analog,1.3GHz,800,8,2-6S,MMCX,Tramp,25.5x25.5,Linear,FPV,Long Range FPV
VTX-0036,Walksnail,Video Transmitter,FPV VTX,Analog,5.8GHz,500,24,5V,U.FL,SmartAudio,25.5x25.5,Circular,Industrial,Industrial UAV
VTX-0037,HGLRC,Video Transmitter,FPV VTX,Walksnail,2.4GHz,1600,8,2-6S,MMCX,None,Whoop,RHCP,FPV,Racing FPV
VTX-0038,AKK,Video Transmitter,FPV VTX,HDZero,5.8GHz,25,16,5V,MMCX,MSP,Whoop,LHCP,FPV,Long Range FPV
VTX-0039,iFlight,Video Transmitter,FPV VTX,Analog,5.8GHz,800,32,7-26V,SMA,MSP,30x30,Linear,FPV,Cinematic FPV
VTX-0040,iFlight,Video Transmitter,FPV VTX,Analog,2.4GHz,1600,32,3-6S,RP-SMA,Tramp,20x20,RHCP,FPV,Long Range FPV
VTX-0041,RushFPV,Video Transmitter,FPV VTX,Walksnail,5.8GHz,800,32,2-6S,SMA,SmartAudio,25.5x25.5,Circular,FPV,Cinematic FPV
VTX-0042,Foxeer,Video Transmitter,FPV VTX,Analog,1.3GHz,400,16,7-26V,SMA,Tramp,25.5x25.5,Circular,FPV,Freestyle FPV
VTX-0043,TBS,Video Transmitter,FPV VTX,HD Digital,5.8GHz,100,24,7-26V,U.FL,None,Whoop,RHCP,FPV,Freestyle FPV
VTX-0044,BetaFPV,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,800,24,5V,RP-SMA,Tramp,Whoop,Circular,FPV,Long Range FPV
VTX-0045,HGLRC,Video Transmitter,FPV VTX,HD Digital,1.3GHz,1000,16,2-6S,SMA,None,25.5x25.5,Circular,FPV,Freestyle FPV
VTX-0046,Caddx,Video Transmitter,FPV VTX,HDZero,2.4GHz,500,16,2-6S,SMA,Tramp,25.5x25.5,Circular,FPV,Racing FPV
VTX-0047,RushFPV,Video Transmitter,FPV VTX,HDZero,1.3GHz,200,32,5V,U.FL,Tramp,25.5x25.5,Circular,FPV,Freestyle FPV
VTX-0048,RushFPV,Video Transmitter,FPV VTX,HD Digital,5.8GHz,500,32,2-6S,RP-SMA,MSP,20x20,RHCP,Industrial,Industrial UAV
VTX-0049,iFlight,Video Transmitter,FPV VTX,Walksnail,5.8GHz,400,8,3-6S,MMCX,None,30x30,LHCP,FPV,Long Range FPV
VTX-0050,TBS,Video Transmitter,FPV VTX,Analog,1.3GHz,500,24,7-26V,RP-SMA,MSP,Whoop,RHCP,FPV,Freestyle FPV
VTX-0051,iFlight,Video Transmitter,FPV VTX,HD Digital,5.8GHz,500,40,7-26V,RP-SMA,SmartAudio,25.5x25.5,LHCP,FPV,Racing FPV
VTX-0052,RushFPV,Video Transmitter,FPV VTX,Analog,5.8GHz,100,24,7-26V,SMA,None,Whoop,Linear,FPV,Long Range FPV
VTX-0053,Foxeer,Video Transmitter,FPV VTX,Walksnail,2.4GHz,25,8,7-26V,U.FL,None,20x20,RHCP,FPV,Racing FPV
VTX-0054,iFlight,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,1000,16,5V,U.FL,SmartAudio,20x20,RHCP,FPV,Cinematic FPV
VTX-0055,Walksnail,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,1600,24,2-6S,RP-SMA,Tramp,20x20,Linear,FPV,Racing FPV
VTX-0056,Caddx,Video Transmitter,FPV VTX,HD Digital,2.4GHz,1000,24,7-26V,U.FL,None,20x20,RHCP,Industrial,Industrial UAV
VTX-0057,RushFPV,Video Transmitter,FPV VTX,Analog,5.8GHz,25,8,2-6S,SMA,None,25.5x25.5,Circular,FPV,Long Range FPV
VTX-0058,GEPRC,Video Transmitter,FPV VTX,HD Digital,5.8GHz,1600,40,7-26V,U.FL,Tramp,20x20,Linear,FPV,Freestyle FPV
VTX-0059,Flywoo,Video Transmitter,FPV VTX,Analog,2.4GHz,400,32,5V,SMA,Tramp,30x30,Circular,FPV,Freestyle FPV
VTX-0060,SpeedyBee,Video Transmitter,FPV VTX,Walksnail,1.3GHz,1000,24,3-6S,MMCX,None,25.5x25.5,LHCP,FPV,Racing FPV
VTX-0061,GEPRC,Video Transmitter,FPV VTX,Walksnail,5.8GHz,1600,32,5V,SMA,MSP,30x30,Linear,FPV,Freestyle FPV
VTX-0062,Foxeer,Video Transmitter,FPV VTX,HDZero,5.8GHz,500,32,2-6S,MMCX,Tramp,Whoop,Linear,FPV,Long Range FPV
VTX-0063,Eachine,Video Transmitter,FPV VTX,HD Digital,5.8GHz,800,8,7-26V,SMA,MSP,30x30,Linear,Industrial,Industrial UAV
VTX-0064,Diatone,Video Transmitter,FPV VTX,HD Digital,2.4GHz,100,32,7-26V,SMA,Tramp,30x30,Circular,FPV,Long Range FPV
VTX-0065,Diatone,Video Transmitter,FPV VTX,HDZero,2.4GHz,1000,16,7-26V,U.FL,Tramp,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0066,Foxeer,Video Transmitter,FPV VTX,HDZero,5.8GHz,400,8,3-6S,U.FL,SmartAudio,25.5x25.5,RHCP,Industrial,Industrial UAV
VTX-0067,BetaFPV,Video Transmitter,FPV VTX,HD Digital,2.4GHz,800,40,7-26V,RP-SMA,SmartAudio,25.5x25.5,RHCP,Industrial,Industrial UAV
VTX-0068,BetaFPV,Video Transmitter,FPV VTX,Walksnail,5.8GHz,25,32,7-26V,U.FL,Tramp,20x20,Linear,FPV,Racing FPV
VTX-0069,Diatone,Video Transmitter,FPV VTX,HDZero,5.8GHz,400,24,5V,MMCX,SmartAudio,Whoop,Linear,FPV,Freestyle FPV
VTX-0070,TBS,Video Transmitter,FPV VTX,Walksnail,5.8GHz,25,8,7-26V,MMCX,MSP,20x20,LHCP,Industrial,Industrial UAV
VTX-0071,RushFPV,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,25,32,7-26V,MMCX,None,30x30,RHCP,FPV,Racing FPV
VTX-0072,HGLRC,Video Transmitter,FPV VTX,HDZero,2.4GHz,25,40,3-6S,MMCX,Tramp,Whoop,RHCP,Industrial,Industrial UAV
VTX-0073,Foxeer,Video Transmitter,FPV VTX,HD Digital,1.3GHz,800,32,7-26V,MMCX,Tramp,30x30,RHCP,Industrial,Industrial UAV
VTX-0074,RushFPV,Video Transmitter,FPV VTX,HDZero,5.8GHz,1000,8,7-26V,U.FL,SmartAudio,25.5x25.5,Circular,FPV,Cinematic FPV
VTX-0075,RushFPV,Video Transmitter,FPV VTX,HD Digital,2.4GHz,500,24,3-6S,U.FL,SmartAudio,20x20,Circular,FPV,Cinematic FPV
VTX-0076,TBS,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,25,32,3-6S,SMA,Tramp,30x30,RHCP,FPV,Freestyle FPV
VTX-0077,SpeedyBee,Video Transmitter,FPV VTX,Walksnail,5.8GHz,800,32,3-6S,RP-SMA,None,30x30,LHCP,FPV,Freestyle FPV
VTX-0078,Walksnail,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,1000,8,5V,MMCX,SmartAudio,25.5x25.5,LHCP,FPV,Long Range FPV
VTX-0079,BetaFPV,Video Transmitter,FPV VTX,Walksnail,2.4GHz,1600,32,3-6S,U.FL,MSP,20x20,Linear,FPV,Long Range FPV
VTX-0080,TBS,Video Transmitter,FPV VTX,Analog,1.3GHz,1600,40,7-26V,RP-SMA,SmartAudio,25.5x25.5,RHCP,FPV,Freestyle FPV
VTX-0081,TBS,Video Transmitter,FPV VTX,Analog,1.3GHz,800,24,2-6S,SMA,Tramp,20x20,LHCP,FPV,Cinematic FPV
VTX-0082,SpeedyBee,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,800,24,5V,MMCX,SmartAudio,20x20,Linear,FPV,Cinematic FPV
VTX-0083,AKK,Video Transmitter,FPV VTX,Walksnail,2.4GHz,100,32,5V,U.FL,None,25.5x25.5,LHCP,FPV,Cinematic FPV
VTX-0084,TBS,Video Transmitter,FPV VTX,HDZero,1.3GHz,400,32,2-6S,MMCX,SmartAudio,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0085,iFlight,Video Transmitter,FPV VTX,Walksnail,5.8GHz,500,40,2-6S,SMA,MSP,Whoop,LHCP,FPV,Racing FPV
VTX-0086,iFlight,Video Transmitter,FPV VTX,HD Digital,2.4GHz,25,24,7-26V,SMA,Tramp,Whoop,Circular,FPV,Freestyle FPV
VTX-0087,Eachine,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,200,24,5V,MMCX,SmartAudio,20x20,RHCP,FPV,Racing FPV
VTX-0088,Walksnail,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,200,32,3-6S,SMA,None,Whoop,Linear,FPV,Cinematic FPV
VTX-0089,AKK,Video Transmitter,FPV VTX,Walksnail,5.8GHz,800,40,5V,SMA,SmartAudio,30x30,Linear,FPV,Cinematic FPV
VTX-0090,Caddx,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,500,8,3-6S,SMA,SmartAudio,20x20,RHCP,FPV,Cinematic FPV
VTX-0091,SpeedyBee,Video Transmitter,FPV VTX,HD Digital,2.4GHz,200,16,2-6S,U.FL,MSP,20x20,LHCP,FPV,Racing FPV
VTX-0092,Eachine,Video Transmitter,FPV VTX,HDZero,5.8GHz,25,24,5V,U.FL,MSP,30x30,LHCP,FPV,Freestyle FPV
VTX-0093,GEPRC,Video Transmitter,FPV VTX,HDZero,1.3GHz,400,40,3-6S,MMCX,MSP,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0094,Diatone,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,1600,16,7-26V,MMCX,None,Whoop,Linear,FPV,Long Range FPV
VTX-0095,TBS,Video Transmitter,FPV VTX,HDZero,1.3GHz,400,40,3-6S,MMCX,SmartAudio,20x20,RHCP,FPV,Cinematic FPV
VTX-0096,GEPRC,Video Transmitter,FPV VTX,Walksnail,2.4GHz,100,16,3-6S,SMA,SmartAudio,30x30,Circular,Industrial,Industrial UAV
VTX-0097,TBS,Video Transmitter,FPV VTX,HDZero,1.3GHz,1000,16,7-26V,MMCX,None,25.5x25.5,RHCP,Industrial,Industrial UAV
VTX-0098,GEPRC,Video Transmitter,FPV VTX,HD Digital,5.8GHz,400,40,5V,U.FL,SmartAudio,Whoop,RHCP,Industrial,Industrial UAV
VTX-0099,Foxeer,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,25,16,7-26V,SMA,SmartAudio,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0100,GEPRC,Video Transmitter,FPV VTX,HD Digital,2.4GHz,1600,8,3-6S,MMCX,None,20x20,Linear,FPV,Racing FPV
VTX-0101,HGLRC,Video Transmitter,FPV VTX,Walksnail,1.3GHz,1600,32,2-6S,MMCX,SmartAudio,20x20,RHCP,FPV,Freestyle FPV
VTX-0102,SpeedyBee,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,25,24,2-6S,SMA,MSP,20x20,Circular,FPV,Long Range FPV
VTX-0103,BetaFPV,Video Transmitter,FPV VTX,HDZero,1.3GHz,800,32,5V,MMCX,None,25.5x25.5,LHCP,FPV,Freestyle FPV
VTX-0104,GEPRC,Video Transmitter,FPV VTX,HD Digital,1.3GHz,400,40,2-6S,U.FL,SmartAudio,Whoop,LHCP,FPV,Racing FPV
VTX-0105,iFlight,Video Transmitter,FPV VTX,Walksnail,2.4GHz,25,8,2-6S,U.FL,SmartAudio,Whoop,Linear,FPV,Cinematic FPV
VTX-0106,Eachine,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,500,8,5V,U.FL,SmartAudio,20x20,Circular,Industrial,Industrial UAV
VTX-0107,Caddx,Video Transmitter,FPV VTX,HDZero,1.3GHz,800,16,2-6S,RP-SMA,None,25.5x25.5,LHCP,FPV,Long Range FPV
VTX-0108,TBS,Video Transmitter,FPV VTX,Walksnail,1.3GHz,100,32,2-6S,SMA,Tramp,20x20,Linear,FPV,Long Range FPV
VTX-0109,RushFPV,Video Transmitter,FPV VTX,HDZero,2.4GHz,500,32,2-6S,SMA,Tramp,30x30,RHCP,FPV,Racing FPV
VTX-0110,Walksnail,Video Transmitter,FPV VTX,HDZero,1.3GHz,200,40,3-6S,MMCX,None,25.5x25.5,RHCP,FPV,Freestyle FPV
VTX-0111,GEPRC,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,1000,24,3-6S,U.FL,None,30x30,Linear,FPV,Long Range FPV
VTX-0112,Caddx,Video Transmitter,FPV VTX,Walksnail,5.8GHz,1600,8,3-6S,SMA,MSP,20x20,Linear,FPV,Cinematic FPV
VTX-0113,AKK,Video Transmitter,FPV VTX,HD Digital,1.3GHz,500,32,7-26V,SMA,None,25.5x25.5,LHCP,Industrial,Industrial UAV
VTX-0114,Eachine,Video Transmitter,FPV VTX,Walksnail,5.8GHz,400,8,5V,MMCX,SmartAudio,30x30,LHCP,FPV,Racing FPV
VTX-0115,TBS,Video Transmitter,FPV VTX,HDZero,2.4GHz,1600,16,3-6S,RP-SMA,SmartAudio,Whoop,RHCP,FPV,Freestyle FPV
VTX-0116,SpeedyBee,Video Transmitter,FPV VTX,HD Digital,2.4GHz,1000,40,7-26V,MMCX,SmartAudio,Whoop,Linear,FPV,Freestyle FPV
VTX-0117,HGLRC,Video Transmitter,FPV VTX,Analog,5.8GHz,100,40,7-26V,SMA,MSP,30x30,Linear,FPV,Cinematic FPV
VTX-0118,AKK,Video Transmitter,FPV VTX,Analog,2.4GHz,400,40,5V,U.FL,SmartAudio,20x20,RHCP,FPV,Freestyle FPV
VTX-0119,Caddx,Video Transmitter,FPV VTX,Analog,2.4GHz,1000,32,7-26V,SMA,SmartAudio,20x20,LHCP,FPV,Racing FPV
VTX-0120,AKK,Video Transmitter,FPV VTX,HDZero,1.3GHz,200,32,7-26V,RP-SMA,MSP,25.5x25.5,Linear,FPV,Long Range FPV
VTX-0121,BetaFPV,Video Transmitter,FPV VTX,HDZero,1.3GHz,200,8,7-26V,RP-SMA,MSP,20x20,Linear,FPV,Long Range FPV
VTX-0122,GEPRC,Video Transmitter,FPV VTX,Analog,5.8GHz,1600,32,5V,RP-SMA,Tramp,Whoop,LHCP,FPV,Cinematic FPV
VTX-0123,TBS,Video Transmitter,FPV VTX,HD Digital,2.4GHz,1000,32,3-6S,MMCX,Tramp,30x30,Circular,FPV,Long Range FPV
VTX-0124,Foxeer,Video Transmitter,FPV VTX,HD Digital,1.3GHz,25,16,2-6S,RP-SMA,SmartAudio,20x20,Linear,Industrial,Industrial UAV
VTX-0125,AKK,Video Transmitter,FPV VTX,Analog,1.3GHz,1000,16,3-6S,RP-SMA,Tramp,25.5x25.5,LHCP,FPV,Racing FPV
VTX-0126,Eachine,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,25,16,5V,SMA,SmartAudio,Whoop,RHCP,FPV,Racing FPV
VTX-0127,iFlight,Video Transmitter,FPV VTX,HD Digital,5.8GHz,25,8,3-6S,RP-SMA,None,Whoop,RHCP,FPV,Racing FPV
VTX-0128,BetaFPV,Video Transmitter,FPV VTX,HD Digital,1.3GHz,200,16,7-26V,MMCX,Tramp,Whoop,Circular,FPV,Cinematic FPV
VTX-0129,iFlight,Video Transmitter,FPV VTX,Analog,1.3GHz,200,40,2-6S,RP-SMA,Tramp,25.5x25.5,RHCP,FPV,Racing FPV
VTX-0130,Diatone,Video Transmitter,FPV VTX,HD Digital,5.8GHz,1600,32,3-6S,MMCX,None,30x30,Circular,FPV,Racing FPV
VTX-0131,TBS,Video Transmitter,FPV VTX,HD Digital,1.3GHz,400,24,2-6S,RP-SMA,SmartAudio,20x20,Linear,FPV,Freestyle FPV
VTX-0132,Caddx,Video Transmitter,FPV VTX,Walksnail,5.8GHz,1000,32,7-26V,SMA,MSP,Whoop,RHCP,FPV,Freestyle FPV
VTX-0133,Walksnail,Video Transmitter,FPV VTX,Walksnail,5.8GHz,1600,40,7-26V,RP-SMA,Tramp,25.5x25.5,Linear,FPV,Long Range FPV
VTX-0134,Diatone,Video Transmitter,FPV VTX,HDZero,2.4GHz,1000,40,7-26V,SMA,Tramp,25.5x25.5,Linear,FPV,Freestyle FPV
VTX-0135,GEPRC,Video Transmitter,FPV VTX,HD Digital,1.3GHz,800,16,5V,MMCX,SmartAudio,Whoop,Circular,FPV,Freestyle FPV
VTX-0136,Caddx,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,100,40,3-6S,U.FL,Tramp,20x20,RHCP,FPV,Long Range FPV
VTX-0137,HGLRC,Video Transmitter,FPV VTX,Walksnail,1.3GHz,200,24,5V,MMCX,Tramp,25.5x25.5,RHCP,Industrial,Industrial UAV
VTX-0138,AKK,Video Transmitter,FPV VTX,HD Digital,2.4GHz,100,32,5V,MMCX,None,25.5x25.5,RHCP,FPV,Long Range FPV
VTX-0139,Walksnail,Video Transmitter,FPV VTX,Walksnail,2.4GHz,500,16,7-26V,RP-SMA,Tramp,30x30,LHCP,FPV,Cinematic FPV
VTX-0140,Diatone,Video Transmitter,FPV VTX,HDZero,2.4GHz,1000,32,5V,MMCX,None,Whoop,RHCP,Industrial,Industrial UAV
VTX-0141,TBS,Video Transmitter,FPV VTX,HDZero,1.3GHz,200,16,2-6S,RP-SMA,SmartAudio,30x30,RHCP,FPV,Long Range FPV
VTX-0142,BetaFPV,Video Transmitter,FPV VTX,HD Digital,5.8GHz,100,24,3-6S,MMCX,Tramp,Whoop,LHCP,FPV,Cinematic FPV
VTX-0143,GEPRC,Video Transmitter,FPV VTX,HD Digital,5.8GHz,500,32,3-6S,SMA,MSP,Whoop,RHCP,FPV,Racing FPV
VTX-0144,Diatone,Video Transmitter,FPV VTX,Walksnail,1.3GHz,25,16,5V,MMCX,Tramp,30x30,Linear,FPV,Cinematic FPV
VTX-0145,RushFPV,Video Transmitter,FPV VTX,Walksnail,2.4GHz,100,40,2-6S,U.FL,MSP,Whoop,Circular,Industrial,Industrial UAV
VTX-0146,Diatone,Video Transmitter,FPV VTX,HD Digital,5.8GHz,1000,16,7-26V,RP-SMA,MSP,30x30,Linear,Industrial,Industrial UAV
VTX-0147,Diatone,Video Transmitter,FPV VTX,Analog,5.8GHz,500,32,3-6S,MMCX,SmartAudio,30x30,Circular,FPV,Racing FPV
VTX-0148,Diatone,Video Transmitter,FPV VTX,HD Digital,5.8GHz,500,32,3-6S,SMA,SmartAudio,30x30,Linear,FPV,Long Range FPV
VTX-0149,Diatone,Video Transmitter,FPV VTX,HD Digital,1.3GHz,1600,16,3-6S,U.FL,SmartAudio,25.5x25.5,Circular,Industrial,Industrial UAV
VTX-0150,RushFPV,Video Transmitter,FPV VTX,HD Digital,5.8GHz,200,8,3-6S,SMA,None,30x30,RHCP,FPV,Freestyle FPV
VTX-0151,TBS,Video Transmitter,FPV VTX,HDZero,1.3GHz,25,24,5V,U.FL,SmartAudio,20x20,Circular,FPV,Freestyle FPV
VTX-0152,iFlight,Video Transmitter,FPV VTX,HDZero,2.4GHz,100,16,3-6S,MMCX,SmartAudio,30x30,Circular,FPV,Racing FPV
VTX-0153,Foxeer,Video Transmitter,FPV VTX,HD Digital,2.4GHz,800,16,7-26V,SMA,None,20x20,RHCP,FPV,Racing FPV
VTX-0154,SpeedyBee,Video Transmitter,FPV VTX,HDZero,5.8GHz,400,16,3-6S,RP-SMA,Tramp,25.5x25.5,LHCP,FPV,Cinematic FPV
VTX-0155,HGLRC,Video Transmitter,FPV VTX,Walksnail,5.8GHz,800,40,2-6S,U.FL,Tramp,20x20,RHCP,FPV,Cinematic FPV
VTX-0156,HGLRC,Video Transmitter,FPV VTX,Walksnail,2.4GHz,400,40,2-6S,RP-SMA,Tramp,30x30,RHCP,FPV,Freestyle FPV
VTX-0157,BetaFPV,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,800,16,2-6S,MMCX,Tramp,20x20,Linear,FPV,Freestyle FPV
VTX-0158,BetaFPV,Video Transmitter,FPV VTX,Analog,5.8GHz,1000,40,2-6S,SMA,MSP,20x20,LHCP,FPV,Long Range FPV
VTX-0159,GEPRC,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,500,32,2-6S,SMA,None,20x20,RHCP,Industrial,Industrial UAV
VTX-0160,Caddx,Video Transmitter,FPV VTX,HD Digital,1.3GHz,400,8,2-6S,RP-SMA,Tramp,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0161,Walksnail,Video Transmitter,FPV VTX,HD Digital,5.8GHz,200,8,7-26V,U.FL,Tramp,25.5x25.5,RHCP,FPV,Long Range FPV
VTX-0162,iFlight,Video Transmitter,FPV VTX,Analog,1.3GHz,200,24,7-26V,U.FL,Tramp,25.5x25.5,Linear,FPV,Cinematic FPV
VTX-0163,Diatone,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,800,16,2-6S,U.FL,MSP,25.5x25.5,Linear,Industrial,Industrial UAV
VTX-0164,TBS,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,500,24,3-6S,MMCX,None,20x20,RHCP,Industrial,Industrial UAV
VTX-0165,Diatone,Video Transmitter,FPV VTX,Walksnail,5.8GHz,400,40,2-6S,U.FL,SmartAudio,25.5x25.5,LHCP,FPV,Cinematic FPV
VTX-0166,Flywoo,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,400,24,3-6S,U.FL,SmartAudio,Whoop,Circular,FPV,Long Range FPV
VTX-0167,AKK,Video Transmitter,FPV VTX,HD Digital,2.4GHz,1000,40,7-26V,SMA,None,20x20,Circular,Industrial,Industrial UAV
VTX-0168,TBS,Video Transmitter,FPV VTX,HDZero,2.4GHz,1000,24,3-6S,U.FL,MSP,20x20,Linear,FPV,Freestyle FPV
