PropID,Brand,Category,SubCategory,PropType,Diameter_in,Pitch_in,BladeCount,Material,MountType,Rotation,CompatibleDroneType,IntendedUse
PROP-0044,T-MOTOR,Propellers,Multirotor Props,Carbon Fiber,16,5.4,2,Carbon Fiber,Hub Mount,CW/CCW,Multirotor,Heavy Lift
PROP-0045,T-MOTOR,Propellers,Multirotor Props,Carbon Fiber,18,6.1,2,Carbon Fiber,Hub Mount,CW/CCW,Multirotor,Heavy Lift
PROP-0046,APC,Propellers,Fixed Wing Props,Standard,14,7,2,Composite,Collet,CW,Fixed Wing,Endurance UAV
PROP-0047,APC,Propellers,Fixed Wing Props,Standard,16,8,2,Composite,Collet,CW,Fixed Wing,UAV Plane
PROP-0048,Master Airscrew,Propellers,Fixed Wing Props,Standard,13,6,2,Composite,Collet,CW,Fixed Wing,Trainer UAV
PROP-0049,Gemfan,Propellers,Multirotor Props,Standard,9,4.5,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Camera Drone
PROP-0050,Gemfan,Propellers,Multirotor Props,Standard,11,5.2,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Survey UAV
PROP-0051,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,24,8,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Heavy Lift UAV
PROP-0052,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,26,8.5,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Heavy Lift UAV
PROP-0053,Carbonix,Propellers,Industrial Props,Carbon Fiber,28,9.2,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Heavy Lift UAV
PROP-0054,Carbonix,Propellers,Industrial Props,Carbon Fiber,30,10,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Heavy Lift
PROP-0055,Gemfan,Propellers,FPV Props,Standard,4,3.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0056,HQProp,Propellers,FPV Props,Standard,4,4,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0057,DALProp,Propellers,FPV Props,Standard,4,4.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Micro Racing
PROP-0058,Ethix,Propellers,FPV Props,Signature,5.1,4,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0059,Gemfan,Propellers,FPV Props,Standard,5.1,4.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0060,HQProp,Propellers,FPV Props,Standard,5.1,5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Racing
PROP-0061,Gemfan,Propellers,FPV Props,Standard,5,3.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0062,Gemfan,Propellers,FPV Props,Standard,5,4,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0063,Gemfan,Propellers,FPV Props,Standard,5,4.8,4,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0064,HQProp,Propellers,FPV Props,Standard,5,3.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0065,HQProp,Propellers,FPV Props,Standard,5,4.6,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0066,DALProp,Propellers,FPV Props,Standard,5,4.7,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0067,DALProp,Propellers,FPV Props,Standard,5,5.3,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Racing
PROP-0068,Azure Power,Propellers,FPV Props,Standard,5,4.1,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0069,Ethix,Propellers,FPV Props,Signature,5,3.7,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0070,Ethix,Propellers,FPV Props,Signature,5,4.9,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0071,Gemfan,Propellers,FPV Props,Standard,6,3.2,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0072,Gemfan,Propellers,FPV Props,Standard,6,4.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0073,HQProp,Propellers,FPV Props,Standard,6,3.5,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0074,DALProp,Propellers,FPV Props,Standard,6,5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0075,Ethix,Propellers,FPV Props,Signature,6,4.2,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Cinematic
PROP-0076,Gemfan,Propellers,FPV Props,Standard,7,3,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Ultra Long Range
PROP-0077,Gemfan,Propellers,FPV Props,Standard,7,4.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Heavy Long Range
PROP-0078,HQProp,Propellers,FPV Props,Standard,7,3.2,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0079,DALProp,Propellers,FPV Props,Standard,7,4,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0080,Ethix,Propellers,FPV Props,Signature,7,4.6,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Cinematic LR
PROP-0081,Gemfan,Propellers,Cinewhoop Props,Ducted,2.5,2.5,4,Polycarbonate,Press Fit,CW/CCW,FPV,Indoor Cinewhoop
PROP-0082,Gemfan,Propellers,Cinewhoop Props,Ducted,3,3.3,5,Polycarbonate,Press Fit,CW/CCW,FPV,Cinematic Cinewhoop
PROP-0083,HQProp,Propellers,Cinewhoop Props,Ducted,3.5,3.1,5,Polycarbonate,Press Fit,CW/CCW,FPV,Cinematic
PROP-0084,DALProp,Propellers,Cinewhoop Props,Ducted,4,3.5,4,Polycarbonate,Press Fit,CW/CCW,FPV,Cinewhoop Outdoor
PROP-0085,Gemfan,Propellers,Cinewhoop Props,Ducted,3,2.6,4,Polycarbonate,Press Fit,CW/CCW,FPV,Low Noise Cinewhoop
PROP-0086,Gemfan,Propellers,Micro FPV Props,Standard,1.9,1.9,3,Polycarbonate,Press Fit,CW/CCW,FPV,Tinywhoop
PROP-0087,Gemfan,Propellers,Micro FPV Props,Standard,2.3,2,3,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0088,HQProp,Propellers,Micro FPV Props,Standard,2.8,2.6,3,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0089,DALProp,Propellers,Micro FPV Props,Standard,3.5,3.1,3,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Freestyle
PROP-0090,Gemfan,Propellers,Micro FPV Props,Standard,4.5,3.5,2,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Long Range
PROP-0091,APC,Propellers,Fixed Wing Props,Standard,7,5,2,Composite,Collet,CW,Fixed Wing,Trainer UAV
PROP-0092,APC,Propellers,Fixed Wing Props,Standard,9,4.5,2,Composite,Collet,CW,Fixed Wing,Endurance Plane
PROP-0093,APC,Propellers,Fixed Wing Props,Standard,11,8,2,Composite,Collet,CW,Fixed Wing,High Lift UAV
PROP-0094,APC,Propellers,Fixed Wing Props,Standard,13,8,2,Composite,Collet,CW,Fixed Wing,Survey UAV
PROP-0095,Master Airscrew,Propellers,Fixed Wing Props,Standard,15,8,2,Composite,Collet,CW,Fixed Wing,Large UAV Plane
PROP-0096,APC,Propellers,Multirotor Props,Standard,9,4.7,2,Composite,Hub Mount,CW/CCW,Multirotor,Camera Drone
PROP-0097,APC,Propellers,Multirotor Props,Standard,11,4.7,2,Composite,Hub Mount,CW/CCW,Multirotor,Survey UAV
PROP-0098,T-MOTOR,Propellers,Multirotor Props,Carbon Fiber,13,4.4,2,Carbon Fiber,Hub Mount,CW/CCW,Multirotor,Professional UAV
PROP-0099,T-MOTOR,Propellers,Multirotor Props,Carbon Fiber,15,5.2,2,Carbon Fiber,Hub Mount,CW/CCW,Multirotor,Heavy Lift
PROP-0100,Gemfan,Propellers,Multirotor Props,Standard,12,4.8,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Survey UAV
PROP-0101,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,14,5,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Agriculture UAV
PROP-0102,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,17,5.8,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Heavy Lift
PROP-0103,Carbonix,Propellers,Industrial Props,Carbon Fiber,19,6.3,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Survey UAV
PROP-0104,Carbonix,Propellers,Industrial Props,Carbon Fiber,23,7.5,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Heavy Lift
PROP-0105,Gemfan,Propellers,Industrial Props,Composite,14,6,2,Composite,Hub Mount,CW/CCW,Multirotor,Camera UAV
PROP-0106,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,27,9,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Heavy Lift
PROP-0107,T-MOTOR,Propellers,Industrial Props,Carbon Fiber,29,9.8,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Heavy Lift
PROP-0108,Carbonix,Propellers,Industrial Props,Carbon Fiber,32,10.5,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Heavy Lift
PROP-0109,Carbonix,Propellers,Industrial Props,Carbon Fiber,34,11.2,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Heavy Lift
PROP-0110,Carbonix,Propellers,Industrial Props,Carbon Fiber,36,12,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Heavy Lift
PROP-0111,APC,Propellers,Multirotor Props,Standard,17,6,2,Composite,Hub Mount,CW/CCW,Multirotor,Heavy Lift
PROP-0112,APC,Propellers,Multirotor Props,Standard,19,6.5,2,Composite,Hub Mount,CW/CCW,Multirotor,Heavy Lift
PROP-0113,Gemfan,Propellers,Multirotor Props,Standard,10,4,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Camera Drone
PROP-0114,Gemfan,Propellers,Multirotor Props,Standard,8,4.5,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Small Camera Drone
PROP-0115,Gemfan,Propellers,Multirotor Props,Standard,7,4.2,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Light Multirotor
PROP-0116,APC,Propellers,Fixed Wing Props,Standard,18,10,2,Composite,Collet,CW,Fixed Wing,Large UAV Plane
PROP-0117,APC,Propellers,Fixed Wing Props,Standard,20,12,2,Composite,Collet,CW,Fixed Wing,Heavy Lift Plane
PROP-0118,Master Airscrew,Propellers,Fixed Wing Props,Standard,17,10,2,Composite,Collet,CW,Fixed Wing,Endurance UAV
PROP-0119,Master Airscrew,Propellers,Fixed Wing Props,Standard,19,12,2,Composite,Collet,CW,Fixed Wing,Large UAV
PROP-0120,Master Airscrew,Propellers,Fixed Wing Props,Standard,22,12,2,Composite,Collet,CW,Fixed Wing,Extreme UAV Plane
PROP-0121,APC,Propellers,Fixed Wing Props,Folding,9,5,2,Composite,Collet,CW,Fixed Wing,Endurance UAV
PROP-0122,APC,Propellers,Fixed Wing Props,Folding,10,6,2,Composite,Collet,CW,Fixed Wing,Endurance UAV
PROP-0123,APC,Propellers,Fixed Wing Props,Folding,11,7,2,Composite,Collet,CW,Fixed Wing,Survey UAV
PROP-0124,APC,Propellers,Fixed Wing Props,Folding,13,8,2,Composite,Collet,CW,Fixed Wing,Long Range UAV
PROP-0125,Master Airscrew,Propellers,Fixed Wing Props,Folding,15,8,2,Composite,Collet,CW,Fixed Wing,Large UAV Plane
PROP-0126,Gemfan,Propellers,FPV Props,Low Noise,5,3.1,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Quiet Freestyle
PROP-0127,HQProp,Propellers,FPV Props,Low Noise,5,3.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Stealth FPV
PROP-0128,Ethix,Propellers,FPV Props,Low Noise,5,3.8,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Cinematic FPV
PROP-0129,Gemfan,Propellers,FPV Props,Low Noise,7,3,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Ultra Long Range
PROP-0130,HQProp,Propellers,FPV Props,Low Noise,6,3.2,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0131,T-MOTOR,Propellers,Industrial Props,Coaxial Optimized,15,5,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Coaxial UAV
PROP-0132,T-MOTOR,Propellers,Industrial Props,Coaxial Optimized,18,6,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Coaxial UAV
PROP-0133,Carbonix,Propellers,Industrial Props,Coaxial Optimized,22,7.2,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Coaxial Heavy Lift
PROP-0134,Carbonix,Propellers,Industrial Props,Coaxial Optimized,26,8.5,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Coaxial Heavy Lift
PROP-0135,T-MOTOR,Propellers,Industrial Props,Coaxial Optimized,30,10,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Coaxial Lift
PROP-0136,APC,Propellers,Fixed Wing Props,High Altitude,10,4.5,2,Composite,Collet,CW,Fixed Wing,High Altitude UAV
PROP-0137,APC,Propellers,Fixed Wing Props,High Altitude,12,5.5,2,Composite,Collet,CW,Fixed Wing,Mountain UAV
PROP-0138,Master Airscrew,Propellers,Fixed Wing Props,High Altitude,14,6,2,Composite,Collet,CW,Fixed Wing,High Elevation Flight
PROP-0139,APC,Propellers,Fixed Wing Props,High Altitude,16,7,2,Composite,Collet,CW,Fixed Wing,Survey UAV
PROP-0140,Master Airscrew,Propellers,Fixed Wing Props,High Altitude,18,8,2,Composite,Collet,CW,Fixed Wing,Long Endurance UAV
PROP-0141,Gemfan,Propellers,Micro FPV Props,Low RPM,2,1.5,2,Polycarbonate,Press Fit,CW/CCW,FPV,Tinywhoop
PROP-0142,Gemfan,Propellers,Micro FPV Props,Low RPM,2.5,1.9,2,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Endurance
PROP-0143,HQProp,Propellers,Micro FPV Props,Low RPM,3,2.2,2,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Long Range
PROP-0144,DALProp,Propellers,Micro FPV Props,Low RPM,3.5,2.5,2,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro LR
PROP-0145,Gemfan,Propellers,Micro FPV Props,Low RPM,4,2,2,Polycarbonate,1.5mm Shaft,CW/CCW,FPV,Micro Endurance
PROP-0146,T-MOTOR,Propellers,Industrial Props,Variable Pitch,18,Adjustable,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Research UAV
PROP-0147,T-MOTOR,Propellers,Industrial Props,Variable Pitch,22,Adjustable,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,VTOL UAV
PROP-0148,Custom,Propellers,Industrial Props,Variable Pitch,26,Adjustable,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Experimental UAV
PROP-0149,Custom,Propellers,Industrial Props,Variable Pitch,30,Adjustable,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Research Heavy Lift
PROP-0150,Custom,Propellers,Industrial Props,Variable Pitch,34,Adjustable,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Experimental Heavy Lift
PROP-0151,APC,Propellers,Multirotor Props,Legacy,8,4.5,2,Composite,Hub Mount,CW/CCW,Multirotor,Legacy Camera Drone
PROP-0152,APC,Propellers,Multirotor Props,Legacy,10,4.7,2,Composite,Hub Mount,CW/CCW,Multirotor,Legacy Survey UAV
PROP-0153,Gemfan,Propellers,Multirotor Props,Legacy,9,4.3,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Legacy Multirotor
PROP-0154,Gemfan,Propellers,Multirotor Props,Legacy,11,4.5,2,Polycarbonate,Hub Mount,CW/CCW,Multirotor,Legacy Camera UAV
PROP-0155,APC,Propellers,Multirotor Props,Legacy,13,5,2,Composite,Hub Mount,CW/CCW,Multirotor,Legacy Heavy Lift
PROP-0156,T-MOTOR,Propellers,Industrial Props,Low Noise,17,5.5,2,Carbon Fiber,Hub Mount,CW/CCW,Agricultural,Stealth Agri UAV
PROP-0157,T-MOTOR,Propellers,Industrial Props,Low Noise,21,6.8,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Quiet Survey UAV
PROP-0158,Carbonix,Propellers,Industrial Props,Low Noise,25,8,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Low Noise Mapping
PROP-0159,Carbonix,Propellers,Industrial Props,Low Noise,29,9.5,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Stealth UAV
PROP-0160,T-MOTOR,Propellers,Industrial Props,Low Noise,33,11,2,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Stealth Heavy Lift
PROP-0161,Gemfan,Propellers,FPV Props,Two Blade,5,4,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0162,HQProp,Propellers,FPV Props,Two Blade,5,4.5,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Freestyle
PROP-0163,DALProp,Propellers,FPV Props,Two Blade,6,4,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0164,Gemfan,Propellers,FPV Props,Two Blade,7,3.8,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Long Range
PROP-0165,Ethix,Propellers,FPV Props,Two Blade,6,4.5,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Cinematic FPV
PROP-0166,APC,Propellers,Fixed Wing Props,Scale,12,8,3,Composite,Collet,CW,Fixed Wing,Scale Aircraft
PROP-0167,Master Airscrew,Propellers,Fixed Wing Props,Scale,14,9,3,Composite,Collet,CW,Fixed Wing,Scale UAV
PROP-0168,APC,Propellers,Fixed Wing Props,Scale,16,10,3,Composite,Collet,CW,Fixed Wing,Large Scale UAV
PROP-0169,Master Airscrew,Propellers,Fixed Wing Props,Scale,18,10,3,Composite,Collet,CW,Fixed Wing,Scale Endurance UAV
PROP-0170,APC,Propellers,Fixed Wing Props,Scale,20,12,3,Composite,Collet,CW,Fixed Wing,Large Scale UAV
PROP-0171,Custom,Propellers,Industrial Props,Experimental,20,Variable,3,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Experimental UAV
PROP-0172,Custom,Propellers,Industrial Props,Experimental,24,Variable,3,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Experimental UAV
PROP-0173,Custom,Propellers,Industrial Props,Experimental,28,Variable,3,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Experimental UAV
PROP-0174,Custom,Propellers,Industrial Props,Experimental,32,Variable,3,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Experimental Heavy Lift
PROP-0175,Custom,Propellers,Industrial Props,Experimental,36,Variable,3,Carbon Fiber,Hub Mount,CW/CCW,Industrial,Extreme Experimental UAV
PROP-0176,Gemfan,Propellers,FPV Props,Legacy,5,4.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Legacy Freestyle
PROP-0177,HQProp,Propellers,FPV Props,Legacy,5,5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Legacy Racing
PROP-0178,DALProp,Propellers,FPV Props,Legacy,6,4.5,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Legacy FPV
PROP-0179,Gemfan,Propellers,FPV Props,Legacy,7,4.2,2,Polycarbonate,5mm Shaft,CW/CCW,FPV,Legacy Long Range
PROP-0180,Ethix,Propellers,FPV Props,Legacy,5,4.3,3,Polycarbonate,5mm Shaft,CW/CCW,FPV,Legacy Freestyle
PROP-0181,Ethix,Propellers,FPV Propeller,5x2.5 2-Blade,5,2.5,2,Polycarbonate,5mm Shaft,CW,FPV,Freestyle
PROP-0182,Gemfan Hurricane,Propellers,FPV Propeller,2.5x5.1 4-Blade,2.5,5.1,4,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Indoor FPV
PROP-0183,Azure Power,Propellers,FPV Propeller,3.5x2.5 3-Blade,3.5,2.5,3,Plastic,5mm Shaft,CW,FPV,Cinematic FPV
PROP-0184,Foxeer,Propellers,FPV Propeller,5x4.3 3-Blade,5,4.3,3,Plastic,1.5mm Shaft,CCW,FPV,Freestyle
PROP-0185,BrotherHobby,Propellers,FPV Propeller,7x6 3-Blade,7,6,3,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0186,Gemfan Hurricane,Propellers,FPV Propeller,3x4.5 4-Blade,3,4.5,4,Carbon Reinforced Nylon,T-Mount,CCW,FPV,Cinematic FPV
PROP-0187,Gemfan,Propellers,FPV Propeller,2.5x5.1 4-Blade,2.5,5.1,4,Plastic,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0188,BrotherHobby,Propellers,FPV Propeller,7x5 2-Blade,7,5,2,Carbon Reinforced Nylon,T-Mount,CW,FPV,Long Range FPV
PROP-0189,Ethix,Propellers,FPV Propeller,3x2.5 3-Blade,3,2.5,3,Carbon Reinforced Nylon,T-Mount,CW,FPV,Cinematic FPV
PROP-0190,Gemfan,Propellers,FPV Propeller,5x2.5 3-Blade,5,2.5,3,Nylon,1.5mm Shaft,CCW,FPV,Freestyle
PROP-0191,Master Airscrew,Propellers,FPV Propeller,8x4.5 2-Blade,8,4.5,2,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Explorer FPV
