BuildID,BuildType,FrameID,MotorID,PropellerID,ESCID,BatteryID,FlightControllerID,CompatibilityStatus,RecommendedUse
BLD-0047,Micro Whoop Build,FRM-0428,MTR-0089,PROP-0286,ESC-0099,BAT-0297,FC-0353,Compatible,Cinematic FPV
BLD-0048,7in Long Range Build,FRM-0044,MTR-0359,PROP-0160,ESC-0002,BAT-0076,FC-0041,Compatible,Long Range FPV
BLD-0049,7in Long Range Build,FRM-0158,MTR-0171,PROP-0043,ESC-0105,BAT-0127,FC-0115,Compatible,Long Range FPV
BLD-0050,5in Freestyle Build,FRM-0076,MTR-0142,PROP-0098,ESC-0029,BAT-0249,FC-0197,Compatible,Cinematic FPV
BLD-0051,Agriculture Scout Build,FRM-0435,MTR-0085,PROP-0150,ESC-0195,BAT-0204,FC-0308,Compatible,Long Range FPV
BLD-0052,5in Freestyle Build,FRM-0324,MTR-0080,PROP-0053,ESC-0285,BAT-0040,FC-0248,Compatible,Cinematic FPV
BLD-0053,3in Cinewhoop Build,FRM-0410,MTR-0223,PROP-0233,ESC-0114,BAT-0181,FC-0129,Compatible,Long Range FPV
BLD-0054,Racing Build,FRM-0120,MTR-0223,PROP-0061,ESC-0061,BAT-0053,FC-0210,Compatible,Cinematic FPV
BLD-0055,5in Freestyle Build,FRM-0054,MTR-0284,PROP-0167,ESC-0198,BAT-0299,FC-0280,Compatible,Cinematic FPV
BLD-0056,Mapping UAV Build,FRM-0291,MTR-0245,PROP-0201,ESC-0282,BAT-0197,FC-0251,Compatible,Agriculture Monitoring
BLD-0057,3in Cinewhoop Build,FRM-0265,MTR-0093,PROP-0300,ESC-0062,BAT-0156,FC-0168,Compatible,Freestyle FPV
BLD-0058,7in Long Range Build,FRM-0362,MTR-0108,PROP-0284,ESC-0220,BAT-0198,FC-0268,Compatible,Mapping / Survey
BLD-0059,Micro Whoop Build,FRM-0196,MTR-0089,PROP-0073,ESC-0207,BAT-0261,FC-0298,Compatible,Racing FPV
BLD-0060,Agriculture Scout Build,FRM-0333,MTR-0323,PROP-0103,ESC-0261,BAT-0108,FC-0106,Compatible,Cinematic FPV
BLD-0061,5in Freestyle Build,FRM-0134,MTR-0205,PROP-0210,ESC-0188,BAT-0107,FC-0303,Compatible,Long Range FPV
BLD-0062,5in Freestyle Build,FRM-0357,MTR-0316,PROP-0001,ESC-0203,BAT-0044,FC-0105,Compatible,Racing FPV
BLD-0063,5in Freestyle Build,FRM-0087,MTR-0408,PROP-0008,ESC-0187,BAT-0046,FC-0366,Compatible,Cinematic FPV
BLD-0064,Mapping UAV Build,FRM-0027,MTR-0234,PROP-0288,ESC-0123,BAT-0168,FC-0222,Compatible,Mapping / Survey
BLD-0065,3in Cinewhoop Build,FRM-0276,MTR-0374,PROP-0081,ESC-0263,BAT-0053,FC-0275,Compatible,Racing FPV
BLD-0066,3in Cinewhoop Build,FRM-0307,MTR-0010,PROP-0278,ESC-0166,BAT-0263,FC-0273,Compatible,Mapping / Survey
BLD-0067,Agriculture Scout Build,FRM-0286,MTR-0277,PROP-0074,ESC-0223,BAT-0054,FC-0172,Compatible,Long Range FPV
BLD-0068,Mapping UAV Build,FRM-0425,MTR-0295,PROP-0237,ESC-0149,BAT-0217,FC-0228,Compatible,Long Range FPV
BLD-0069,7in Long Range Build,FRM-0089,MTR-0414,PROP-0144,ESC-0271,BAT-0199,FC-0153,Compatible,Freestyle FPV
BLD-0070,Agriculture Scout Build,FRM-0365,MTR-0464,PROP-0128,ESC-0072,BAT-0296,FC-0312,Compatible,Racing FPV
BLD-0071,5in Freestyle Build,FRM-0362,MTR-0245,PROP-0206,ESC-0097,BAT-0238,FC-0283,Compatible,Mapping / Survey
BLD-0072,Agriculture Scout Build,FRM-0437,MTR-0272,PROP-0042,ESC-0272,BAT-0089,FC-0304,Compatible,Mapping / Survey
BLD-0073,Mapping UAV Build,FRM-0342,MTR-0346,PROP-0136,ESC-0112,BAT-0191,FC-0014,Compatible,Racing FPV
BLD-0074,Racing Build,FRM-0346,MTR-0044,PROP-0221,ESC-0238,BAT-0090,FC-0320,Compatible,Freestyle FPV
BLD-0075,Mapping UAV Build,FRM-0297,MTR-0302,PROP-0135,ESC-0228,BAT-0249,FC-0083,Compatible,Agriculture Monitoring
BLD-0076,Racing Build,FRM-0489,MTR-0243,PROP-0188,ESC-0221,BAT-0165,FC-0058,Compatible,Freestyle FPV
BLD-0077,Agriculture Scout Build,FRM-0155,MTR-0106,PROP-0066,ESC-0088,BAT-0269,FC-0190,Compatible,Agriculture Monitoring
BLD-0078,7in Long Range Build,FRM-0016,MTR-0129,PROP-0223,ESC-0220,BAT-0155,FC-0119,Compatible,Long Range FPV
BLD-0079,7in Long Range Build,FRM-0188,MTR-0499,PROP-0226,ESC-0253,BAT-0173,FC-0269,Compatible,Cinematic FPV
BLD-0080,7in Long Range Build,FRM-0091,MTR-0291,PROP-0125,ESC-0031,BAT-0051,FC-0363,Compatible,Cinematic FPV
BLD-0081,Agriculture Scout Build,FRM-0281,MTR-0228,PROP-0011,ESC-0174,BAT-0003,FC-0298,Compatible,Freestyle FPV
BLD-0082,Racing Build,FRM-0375,MTR-0095,PROP-0006,ESC-0284,BAT-0082,FC-0153,Compatible,Long Range FPV
BLD-0083,Racing Build,FRM-0425,MTR-0387,PROP-0151,ESC-0240,BAT-0076,FC-0329,Compatible,Freestyle FPV
BLD-0084,Micro Whoop Build,FRM-0099,MTR-0390,PROP-0057,ESC-0078,BAT-0121,FC-0375,Compatible,Racing FPV
BLD-0085,Racing Build,FRM-0104,MTR-0016,PROP-0127,ESC-0001,BAT-0242,FC-0329,Compatible,Mapping / Survey
BLD-0086,7in Long Range Build,FRM-0097,MTR-0127,PROP-0170,ESC-0246,BAT-0275,FC-0377,Compatible,Mapping / Survey
BLD-0087,Mapping UAV Build,FRM-0433,MTR-0295,PROP-0252,ESC-0128,BAT-0187,FC-0288,Compatible,Mapping / Survey
BLD-0088,5in Freestyle Build,FRM-0098,MTR-0229,PROP-0197,ESC-0165,BAT-0098,FC-0013,Compatible,Cinematic FPV
BLD-0089,Micro Whoop Build,FRM-0306,MTR-0289,PROP-0120,ESC-0279,BAT-0276,FC-0179,Compatible,Cinematic FPV
BLD-0090,Mapping UAV Build,FRM-0057,MTR-0081,PROP-0205,ESC-0198,BAT-0252,FC-0093,Compatible,Mapping / Survey
BLD-0091,Micro Whoop Build,FRM-0366,MTR-0075,PROP-0168,ESC-0018,BAT-0184,FC-0025,Compatible,Long Range FPV
BLD-0092,5in Freestyle Build,FRM-0258,MTR-0494,PROP-0248,ESC-0043,BAT-0084,FC-0355,Compatible,Racing FPV
BLD-0093,Racing Build,FRM-0035,MTR-0449,PROP-0237,ESC-0211,BAT-0286,FC-0074,Compatible,Mapping / Survey
BLD-0094,Mapping UAV Build,FRM-0316,MTR-0422,PROP-0165,ESC-0218,BAT-0256,FC-0217,Compatible,Long Range FPV
BLD-0095,Mapping UAV Build,FRM-0165,MTR-0363,PROP-0280,ESC-0047,BAT-0005,FC-0335,Compatible,Agriculture Monitoring
BLD-0096,Micro Whoop Build,FRM-0217,MTR-0120,PROP-0227,ESC-0007,BAT-0099,FC-0336,Compatible,Cinematic FPV
BLD-0097,Agriculture Scout Build,FRM-0228,MTR-0239,PROP-0025,ESC-0297,BAT-0119,FC-0219,Compatible,Mapping / Survey
BLD-0098,Racing Build,FRM-0454,MTR-0084,PROP-0233,ESC-0188,BAT-0077,FC-0046,Compatible,Long Range FPV
BLD-0099,5in Freestyle Build,FRM-0319,MTR-0178,PROP-0191,ESC-0040,BAT-0063,FC-0289,Compatible,Freestyle FPV
BLD-0100,Racing Build,FRM-0095,MTR-0067,PROP-0193,ESC-0160,BAT-0133,FC-0275,Compatible,Cinematic FPV
BLD-0101,Mapping UAV Build,FRM-0316,MTR-0028,PROP-0096,ESC-0118,BAT-0047,FC-0152,Compatible,Agriculture Monitoring
BLD-0102,5in Freestyle Build,FRM-0156,MTR-0265,PROP-0241,ESC-0062,BAT-0288,FC-0127,Compatible,Mapping / Survey
BLD-0103,Mapping UAV Build,FRM-0010,MTR-0266,PROP-0244,ESC-0041,BAT-0096,FC-0061,Compatible,Racing FPV
BLD-0104,Mapping UAV Build,FRM-0373,MTR-0158,PROP-0224,ESC-0235,BAT-0240,FC-0005,Compatible,Freestyle FPV
BLD-0105,3in Cinewhoop Build,FRM-0197,MTR-0381,PROP-0237,ESC-0017,BAT-0121,FC-0037,Compatible,Agriculture Monitoring
BLD-0106,3in Cinewhoop Build,FRM-0122,MTR-0244,PROP-0272,ESC-0053,BAT-0082,FC-0249,Compatible,Long Range FPV
BLD-0107,7in Long Range Build,FRM-0444,MTR-0032,PROP-0228,ESC-0259,BAT-0286,FC-0323,Compatible,Freestyle FPV
BLD-0108,Micro Whoop Build,FRM-0242,MTR-0276,PROP-0155,ESC-0295,BAT-0153,FC-0117,Compatible,Agriculture Monitoring
BLD-0109,3in Cinewhoop Build,FRM-0312,MTR-0224,PROP-0300,ESC-0141,BAT-0215,FC-0163,Compatible,Racing FPV
BLD-0110,Micro Whoop Build,FRM-0064,MTR-0194,PROP-0046,ESC-0182,BAT-0122,FC-0307,Compatible,Long Range FPV
BLD-0111,Mapping UAV Build,FRM-0276,MTR-0318,PROP-0043,ESC-0198,BAT-0279,FC-0150,Compatible,Mapping / Survey
BLD-0112,Racing Build,FRM-0400,MTR-0185,PROP-0029,ESC-0151,BAT-0063,FC-0033,Compatible,Mapping / Survey
BLD-0113,5in Freestyle Build,FRM-0072,MTR-0005,PROP-0164,ESC-0073,BAT-0020,FC-0320,Compatible,Freestyle FPV
BLD-0114,7in Long Range Build,FRM-0126,MTR-0243,PROP-0283,ESC-0165,BAT-0191,FC-0371,Compatible,Long Range FPV
BLD-0115,5in Freestyle Build,FRM-0412,MTR-0423,PROP-0125,ESC-0084,BAT-0079,FC-0134,Compatible,Mapping / Survey
BLD-0116,Racing Build,FRM-0495,MTR-0353,PROP-0082,ESC-0269,BAT-0125,FC-0302,Compatible,Freestyle FPV
BLD-0117,Micro Whoop Build,FRM-0496,MTR-0261,PROP-0298,ESC-0131,BAT-0260,FC-0371,Compatible,Long Range FPV
BLD-0118,5in Freestyle Build,FRM-0135,MTR-0294,PROP-0294,ESC-0217,BAT-0135,FC-0065,Compatible,Long Range FPV
BLD-0119,Micro Whoop Build,FRM-0087,MTR-0044,PROP-0243,ESC-0240,BAT-0047,FC-0142,Compatible,Long Range FPV
BLD-0120,7in Long Range Build,FRM-0319,MTR-0376,PROP-0079,ESC-0041,BAT-0085,FC-0035,Compatible,Freestyle FPV
BLD-0121,Agriculture Scout Build,FRM-0169,MTR-0276,PROP-0262,ESC-0085,BAT-0270,FC-0165,Compatible,Racing FPV
BLD-0122,5in Freestyle Build,FRM-0375,MTR-0290,PROP-0143,ESC-0281,BAT-0067,FC-0284,Compatible,Long Range FPV
BLD-0123,Agriculture Scout Build,FRM-0469,MTR-0286,PROP-0266,ESC-0191,BAT-0244,FC-0316,Compatible,Racing FPV
BLD-0124,Micro Whoop Build,FRM-0304,MTR-0202,PROP-0002,ESC-0092,BAT-0083,FC-0357,Compatible,Freestyle FPV
BLD-0125,Racing Build,FRM-0362,MTR-0003,PROP-0203,ESC-0021,BAT-0102,FC-0305,Compatible,Agriculture Monitoring
BLD-0126,Agriculture Scout Build,FRM-0183,MTR-0494,PROP-0038,ESC-0155,BAT-0208,FC-0239,Compatible,Agriculture Monitoring
BLD-0127,3in Cinewhoop Build,FRM-0259,MTR-0437,PROP-0228,ESC-0251,BAT-0160,FC-0326,Compatible,Agriculture Monitoring
BLD-0128,Mapping UAV Build,FRM-0458,MTR-0275,PROP-0026,ESC-0132,BAT-0289,FC-0207,Compatible,Agriculture Monitoring
BLD-0129,Mapping UAV Build,FRM-0200,MTR-0122,PROP-0119,ESC-0124,BAT-0195,FC-0174,Compatible,Freestyle FPV
BLD-0130,5in Freestyle Build,FRM-0235,MTR-0180,PROP-0146,ESC-0234,BAT-0016,FC-0049,Compatible,Cinematic FPV
BLD-0131,5in Freestyle Build,FRM-0182,MTR-0312,PROP-0069,ESC-0051,BAT-0067,FC-0154,Compatible,Mapping / Survey
BLD-0132,Racing Build,FRM-0461,MTR-0221,PROP-0274,ESC-0062,BAT-0060,FC-0258,Compatible,Racing FPV
BLD-0133,5in Freestyle Build,FRM-0432,MTR-0040,PROP-0031,ESC-0295,BAT-0011,FC-0153,Compatible,Freestyle FPV
BLD-0134,7in Long Range Build,FRM-0393,MTR-0051,PROP-0033,ESC-0293,BAT-0082,FC-0120,Compatible,Freestyle FPV
BLD-0135,3in Cinewhoop Build,FRM-0392,MTR-0007,PROP-0182,ESC-0243,BAT-0162,FC-0038,Compatible,Freestyle FPV
BLD-0136,Mapping UAV Build,FRM-0477,MTR-0014,PROP-0049,ESC-0139,BAT-0106,FC-0121,Compatible,Cinematic FPV
BLD-0137,5in Freestyle Build,FRM-0487,MTR-0213,PROP-0196,ESC-0133,BAT-0049,FC-0133,Compatible,Racing FPV
BLD-0138,Agriculture Scout Build,FRM-0148,MTR-0286,PROP-0297,ESC-0039,BAT-0075,FC-0048,Compatible,Mapping / Survey
BLD-0139,5in Freestyle Build,FRM-0341,MTR-0121,PROP-0131,ESC-0112,BAT-0250,FC-0119,Compatible,Freestyle FPV
BLD-0140,3in Cinewhoop Build,FRM-0370,MTR-0113,PROP-0224,ESC-0034,BAT-0172,FC-0181,Compatible,Cinematic FPV
BLD-0141,Micro Whoop Build,FRM-0113,MTR-0392,PROP-0288,ESC-0252,BAT-0129,FC-0026,Compatible,Agriculture Monitoring
BLD-0142,7in Long Range Build,FRM-0235,MTR-0036,PROP-0209,ESC-0300,BAT-0255,FC-0288,Compatible,Freestyle FPV
BLD-0143,3in Cinewhoop Build,FRM-0472,MTR-0452,PROP-0096,ESC-0094,BAT-0299,FC-0156,Compatible,Freestyle FPV
BLD-0144,Micro Whoop Build,FRM-0072,MTR-0288,PROP-0109,ESC-0175,BAT-0033,FC-0061,Compatible,Long Range FPV
BLD-0145,Micro Whoop Build,FRM-0399,MTR-0207,PROP-0099,ESC-0123,BAT-0030,FC-0263,Compatible,Long Range FPV
BLD-0146,Racing Build,FRM-0447,MTR-0496,PROP-0174,ESC-0040,BAT-0055,FC-0176,Compatible,Agriculture Monitoring
BLD-0147,3in Cinewhoop Build,FRM-0250,MTR-0183,PROP-0208,ESC-0063,BAT-0279,FC-0241,Compatible,Racing FPV
BLD-0148,Racing Build,FRM-0389,MTR-0493,PROP-0078,ESC-0085,BAT-0228,FC-0052,Compatible,Freestyle FPV
BLD-0149,3in Cinewhoop Build,FRM-0135,MTR-0253,PROP-0242,ESC-0113,BAT-0138,FC-0304,Compatible,Racing FPV
BLD-0150,Mapping UAV Build,FRM-0305,MTR-0347,PROP-0009,ESC-0200,BAT-0117,FC-0026,Compatible,Cinematic FPV
BLD-0151,Micro Whoop Build,FRM-0395,MTR-0113,PROP-0046,ESC-0229,BAT-0222,FC-0145,Compatible,Racing FPV
BLD-0152,5in Freestyle Build,FRM-0410,MTR-0268,PROP-0146,ESC-0129,BAT-0125,FC-0095,Compatible,Long Range FPV
BLD-0153,5in Freestyle Build,FRM-0055,MTR-0081,PROP-0023,ESC-0029,BAT-0189,FC-0061,Compatible,Racing FPV
BLD-0154,Racing Build,FRM-0066,MTR-0105,PROP-0091,ESC-0134,BAT-0180,FC-0299,Compatible,Freestyle FPV
BLD-0155,Agriculture Scout Build,FRM-0427,MTR-0321,PROP-0126,ESC-0284,BAT-0273,FC-0057,Compatible,Mapping / Survey
BLD-0156,5in Freestyle Build,FRM-0355,MTR-0432,PROP-0085,ESC-0232,BAT-0081,FC-0318,Compatible,Racing FPV
BLD-0157,Racing Build,FRM-0407,MTR-0491,PROP-0054,ESC-0146,BAT-0134,FC-0216,Compatible,Racing FPV
BLD-0158,Racing Build,FRM-0043,MTR-0315,PROP-0171,ESC-0057,BAT-0197,FC-0080,Compatible,Cinematic FPV
BLD-0159,3in Cinewhoop Build,FRM-0114,MTR-0063,PROP-0129,ESC-0209,BAT-0283,FC-0042,Compatible,Freestyle FPV
BLD-0160,Mapping UAV Build,FRM-0025,MTR-0132,PROP-0065,ESC-0264,BAT-0249,FC-0375,Compatible,Mapping / Survey
BLD-0161,Racing Build,FRM-0145,MTR-0224,PROP-0115,ESC-0158,BAT-0209,FC-0118,Compatible,Long Range FPV
BLD-0162,7in Long Range Build,FRM-0073,MTR-0306,PROP-0141,ESC-0164,BAT-0155,FC-0307,Compatible,Cinematic FPV
BLD-0163,Mapping UAV Build,FRM-0356,MTR-0374,PROP-0156,ESC-0280,BAT-0068,FC-0018,Compatible,Cinematic FPV
BLD-0164,Mapping UAV Build,FRM-0461,MTR-0163,PROP-0193,ESC-0068,BAT-0150,FC-0360,Compatible,Agriculture Monitoring
BLD-0165,5in Freestyle Build,FRM-0390,MTR-0079,PROP-0034,ESC-0186,BAT-0123,FC-0240,Compatible,Long Range FPV
BLD-0166,3in Cinewhoop Build,FRM-0244,MTR-0446,PROP-0179,ESC-0097,BAT-0025,FC-0078,Compatible,Agriculture Monitoring
BLD-0167,5in Freestyle Build,FRM-0259,MTR-0282,PROP-0267,ESC-0300,BAT-0168,FC-0230,Compatible,Agriculture Monitoring
BLD-0168,Micro Whoop Build,FRM-0325,MTR-0030,PROP-0211,ESC-0091,BAT-0199,FC-0377,Compatible,Long Range FPV
BLD-0169,Racing Build,FRM-0127,MTR-0318,PROP-0130,ESC-0090,BAT-0071,FC-0097,Compatible,Mapping / Survey
BLD-0170,Micro Whoop Build,FRM-0166,MTR-0303,PROP-0158,ESC-0297,BAT-0119,FC-0003,Compatible,Mapping / Survey
BLD-0171,Racing Build,FRM-0316,MTR-0469,PROP-0038,ESC-0187,BAT-0220,FC-0205,Compatible,Mapping / Survey
BLD-0172,3in Cinewhoop Build,FRM-0234,MTR-0246,PROP-0225,ESC-0066,BAT-0138,FC-0163,Compatible,Mapping / Survey
BLD-0173,Micro Whoop Build,FRM-0060,MTR-0068,PROP-0187,ESC-0106,BAT-0181,FC-0321,Compatible,Long Range FPV
BLD-0174,Micro Whoop Build,FRM-0120,MTR-0138,PROP-0118,ESC-0190,BAT-0046,FC-0213,Compatible,Racing FPV
BLD-0175,Mapping UAV Build,FRM-0031,MTR-0441,PROP-0232,ESC-0222,BAT-0085,FC-0170,Compatible,Freestyle FPV
BLD-0176,Agriculture Scout Build,FRM-0256,MTR-0422,PROP-0109,ESC-0069,BAT-0201,FC-0161,Compatible,Racing FPV
BLD-0177,Agriculture Scout Build,FRM-0056,MTR-0358,PROP-0109,ESC-0296,BAT-0099,FC-0047,Compatible,Mapping / Survey
BLD-0178,Agriculture Scout Build,FRM-0036,MTR-0478,PROP-0037,ESC-0059,BAT-0250,FC-0171,Compatible,Long Range FPV
BLD-0179,5in Freestyle Build,FRM-0468,MTR-0441,PROP-0024,ESC-0153,BAT-0093,FC-0242,Compatible,Freestyle FPV
BLD-0180,Mapping UAV Build,FRM-0117,MTR-0465,PROP-0009,ESC-0191,BAT-0143,FC-0041,Compatible,Long Range FPV
BLD-0181,Racing Build,FRM-0295,MTR-0126,PROP-0195,ESC-0083,BAT-0115,FC-0236,Compatible,Mapping / Survey
BLD-0182,Agriculture Scout Build,FRM-0188,MTR-0058,PROP-0174,ESC-0148,BAT-0078,FC-0178,Compatible,Long Range FPV
BLD-0183,7in Long Range Build,FRM-0097,MTR-0371,PROP-0263,ESC-0216,BAT-0245,FC-0325,Compatible,Long Range FPV
BLD-0184,Agriculture Scout Build,FRM-0395,MTR-0499,PROP-0054,ESC-0209,BAT-0136,FC-0257,Compatible,Racing FPV
BLD-0185,Racing Build,FRM-0183,MTR-0123,PROP-0086,ESC-0179,BAT-0169,FC-0237,Compatible,Agriculture Monitoring
BLD-0186,Agriculture Scout Build,FRM-0210,MTR-0339,PROP-0183,ESC-0124,BAT-0076,FC-0018,Compatible,Agriculture Monitoring
BLD-0187,7in Long Range Build,FRM-0490,MTR-0491,PROP-0101,ESC-0127,BAT-0231,FC-0125,Compatible,Agriculture Monitoring
BLD-0188,Mapping UAV Build,FRM-0307,MTR-0274,PROP-0241,ESC-0026,BAT-0006,FC-0298,Compatible,Mapping / Survey
BLD-0189,5in Freestyle Build,FRM-0034,MTR-0392,PROP-0232,ESC-0022,BAT-0245,FC-0249,Compatible,Mapping / Survey
BLD-0190,7in Long Range Build,FRM-0439,MTR-0358,PROP-0089,ESC-0040,BAT-0187,FC-0097,Compatible,Cinematic FPV
BLD-0191,3in Cinewhoop Build,FRM-0104,MTR-0104,PROP-0035,ESC-0015,BAT-0037,FC-0059,Compatible,Cinematic FPV
BLD-0192,Agriculture Scout Build,FRM-0215,MTR-0463,PROP-0298,ESC-0088,BAT-0093,FC-0165,Compatible,Long Range FPV
BLD-0193,5in Freestyle Build,FRM-0195,MTR-0403,PROP-0024,ESC-0013,BAT-0026,FC-0294,Compatible,Long Range FPV
BLD-0194,5in Freestyle Build,FRM-0148,MTR-0322,PROP-0098,ESC-0281,BAT-0011,FC-0204,Compatible,Freestyle FPV
