GPSID,Brand,Category,SubCategory,GNSSSupport,CompassIncluded,UpdateRate_Hz,Interface,VoltageInput_V,AntennaType,MountingType,SupportedFirmware,SupportedDroneType,IntendedUse
GPS-0022,HGLRC,GPS Modules,GNSS Module,GPS,No,1,UART,4-6S BEC,Ceramic Patch,Mast Mount,ArduPilot,FPV,Long Range FPV
GPS-0023,BN-880,GPS Modules,GNSS Module,GPS+BeiDou,No,5,CAN,5V,Helical,Frame Mount,ArduPilot,FPV,Navigation
GPS-0024,HGLRC,GPS Modules,GNSS Module,GPS,No,10,CAN,3.3-5V,Ceramic Patch,Mast Mount,ArduPilot,FPV,Navigation
GPS-0025,HGLRC,GPS Modules,GNSS Module,GPS+BeiDou,No,1,CAN,4-6S BEC,External Active,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0026,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,UART,4-6S BEC,Helical,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0027,BN-880,GPS Modules,GNSS Module,GPS+GLONASS,No,10,I2C,3.3-5V,Helical,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0028,Holybro,GPS Modules,GNSS Module,GPS,Yes,5,I2C,3.3-5V,Ceramic Patch,Top Mount,PX4,FPV,Long Range FPV
GPS-0029,iFlight,GPS Modules,GNSS Module,GPS,No,5,CAN,4-6S BEC,Helical,Frame Mount,ArduPilot,FPV,Navigation
GPS-0030,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,UART,3.3-5V,External Active,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0031,Beitian,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,CAN,3.3-5V,Ceramic Patch,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0032,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,I2C,4-6S BEC,Ceramic Patch,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0033,Skydroid,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,4-6S BEC,Helical,Frame Mount,INAV,FPV,Long Range FPV
GPS-0034,T-Motor,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,UART,3.3-5V,External Active,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0035,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,I2C,5V,Ceramic Patch,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0036,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,1,UART,3.3-5V,Ceramic Patch,Frame Mount,PX4,FPV,Long Range FPV
GPS-0037,Here3,GPS Modules,GNSS Module,GPS+BeiDou,No,5,I2C,4-6S BEC,External Active,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0038,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,CAN,4-6S BEC,Ceramic Patch,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0039,Beitian,GPS Modules,GNSS Module,GPS,No,18,I2C,5V,Ceramic Patch,Frame Mount,INAV,Industrial,Mapping / Survey
GPS-0040,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,UART,3.3-5V,Ceramic Patch,Top Mount,ArduPilot,FPV,Long Range FPV
GPS-0041,HGLRC,GPS Modules,GNSS Module,GPS+BeiDou,No,10,CAN,5V,External Active,Mast Mount,INAV,FPV,Long Range FPV
GPS-0042,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,4-6S BEC,External Active,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0043,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,UART,5V,Ceramic Patch,Mast Mount,INAV,FPV,Long Range FPV
GPS-0044,Flywoo,GPS Modules,GNSS Module,Multi-GNSS,No,5,CAN,4-6S BEC,External Active,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0045,GEPRC,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,I2C,5V,External Active,Top Mount,INAV,FPV,Navigation
GPS-0046,Beitian,GPS Modules,GNSS Module,GPS+GLONASS,Yes,10,CAN,4-6S BEC,Ceramic Patch,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0047,GEPRC,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,CAN,4-6S BEC,External Active,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0048,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,5V,Ceramic Patch,Frame Mount,ArduPilot,FPV,Navigation
GPS-0049,CUAV,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,I2C,4-6S BEC,Ceramic Patch,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0050,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,No,18,UART,3.3-5V,Helical,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0051,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,CAN,3.3-5V,Helical,Frame Mount,INAV,FPV,Navigation
GPS-0052,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,10,UART,4-6S BEC,Helical,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0053,iFlight,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,CAN,4-6S BEC,Helical,Frame Mount,PX4,Industrial,Autonomous UAV
GPS-0054,Matek,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,CAN,4-6S BEC,Ceramic Patch,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0055,iFlight,GPS Modules,GNSS Module,GPS+GLONASS,No,1,UART,3.3-5V,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0056,Radiolink,GPS Modules,GNSS Module,GPS,No,1,I2C,4-6S BEC,Ceramic Patch,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0057,Radiolink,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,3.3-5V,Helical,Top Mount,Betaflight,FPV,Navigation
GPS-0058,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,I2C,3.3-5V,External Active,Frame Mount,ArduPilot,FPV,Navigation
GPS-0059,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,No,5,CAN,4-6S BEC,Helical,Frame Mount,INAV,FPV,Navigation
GPS-0060,Skydroid,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,1,UART,5V,External Active,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0061,Holybro,GPS Modules,GNSS Module,GPS+GLONASS,Yes,1,CAN,4-6S BEC,Helical,Top Mount,Betaflight,Industrial,Mapping / Survey
GPS-0062,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,3.3-5V,Ceramic Patch,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0063,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,No,10,UART,4-6S BEC,Ceramic Patch,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0064,Foxeer,GPS Modules,GNSS Module,GPS+BeiDou,No,10,UART,4-6S BEC,External Active,Mast Mount,PX4,FPV,Navigation
GPS-0065,Flywoo,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,CAN,3.3-5V,Ceramic Patch,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0066,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,I2C,3.3-5V,Ceramic Patch,Top Mount,INAV,FPV,Navigation
GPS-0067,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,No,1,I2C,4-6S BEC,Helical,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0068,T-Motor,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,I2C,4-6S BEC,Ceramic Patch,Frame Mount,PX4,FPV,Long Range FPV
GPS-0069,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,UART,3.3-5V,Helical,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0070,Flywoo,GPS Modules,GNSS Module,GPS+BeiDou,Yes,5,I2C,4-6S BEC,External Active,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0071,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,Yes,18,UART,5V,Ceramic Patch,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0072,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,UART,5V,Helical,Mast Mount,ArduPilot,FPV,Navigation
GPS-0073,Foxeer,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,CAN,5V,External Active,Top Mount,PX4,FPV,Long Range FPV
GPS-0074,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,No,1,I2C,5V,Ceramic Patch,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0075,Holybro,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,UART,3.3-5V,Helical,Frame Mount,Betaflight,Industrial,Autonomous UAV
GPS-0076,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,I2C,5V,Helical,Mast Mount,PX4,FPV,Long Range FPV
GPS-0077,Matek,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,CAN,3.3-5V,Ceramic Patch,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0078,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,18,UART,3.3-5V,External Active,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0079,Radiolink,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,I2C,4-6S BEC,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0080,Radiolink,GPS Modules,GNSS Module,GPS,Yes,18,CAN,4-6S BEC,Ceramic Patch,Frame Mount,PX4,FPV,Long Range FPV
GPS-0081,Here3,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,4-6S BEC,Ceramic Patch,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0082,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,UART,3.3-5V,Ceramic Patch,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0083,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,CAN,5V,External Active,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0084,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,I2C,3.3-5V,Helical,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0085,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,1,I2C,3.3-5V,Ceramic Patch,Mast Mount,Betaflight,Industrial,Mapping / Survey
GPS-0086,Foxeer,GPS Modules,GNSS Module,GPS,No,5,I2C,5V,External Active,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0087,GEPRC,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,CAN,4-6S BEC,Helical,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0088,Flywoo,GPS Modules,GNSS Module,Multi-GNSS,No,1,CAN,5V,External Active,Mast Mount,INAV,FPV,Long Range FPV
GPS-0089,HGLRC,GPS Modules,GNSS Module,GPS,Yes,18,UART,5V,Helical,Frame Mount,Betaflight,FPV,Long Range FPV
GPS-0090,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,UART,5V,Ceramic Patch,Top Mount,PX4,Industrial,Mapping / Survey
GPS-0091,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,I2C,3.3-5V,Ceramic Patch,Frame Mount,INAV,FPV,Long Range FPV
GPS-0092,CUAV,GPS Modules,GNSS Module,GPS+GLONASS,No,10,I2C,4-6S BEC,Helical,Mast Mount,Betaflight,FPV,Navigation
GPS-0093,Radiolink,GPS Modules,GNSS Module,GPS,Yes,1,UART,4-6S BEC,Helical,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0094,Beitian,GPS Modules,GNSS Module,GPS,No,1,CAN,5V,Ceramic Patch,Top Mount,Betaflight,FPV,Navigation
GPS-0095,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,No,1,I2C,5V,External Active,Top Mount,Betaflight,FPV,Navigation
GPS-0096,Matek,GPS Modules,GNSS Module,GPS+BeiDou,No,18,I2C,3.3-5V,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0097,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,I2C,3.3-5V,Ceramic Patch,Frame Mount,INAV,FPV,Long Range FPV
GPS-0098,T-Motor,GPS Modules,GNSS Module,GPS,No,1,I2C,4-6S BEC,External Active,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0099,GEPRC,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,4-6S BEC,External Active,Frame Mount,PX4,Industrial,Mapping / Survey
GPS-0100,Beitian,GPS Modules,GNSS Module,GPS,Yes,1,I2C,5V,Ceramic Patch,Frame Mount,PX4,Industrial,Autonomous UAV
GPS-0101,HGLRC,GPS Modules,GNSS Module,GPS,Yes,18,UART,3.3-5V,Ceramic Patch,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0102,Skydroid,GPS Modules,GNSS Module,Multi-GNSS,No,10,I2C,5V,Ceramic Patch,Mast Mount,Betaflight,FPV,Navigation
GPS-0103,Matek,GPS Modules,GNSS Module,GPS,No,5,CAN,4-6S BEC,External Active,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0104,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS,No,10,CAN,5V,External Active,Frame Mount,PX4,Industrial,Mapping / Survey
GPS-0105,Matek,GPS Modules,GNSS Module,GPS+GLONASS,Yes,18,UART,4-6S BEC,External Active,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0106,BN-880,GPS Modules,GNSS Module,GPS+GLONASS,No,18,UART,4-6S BEC,External Active,Mast Mount,PX4,FPV,Long Range FPV
GPS-0107,Foxeer,GPS Modules,GNSS Module,GPS,Yes,1,UART,4-6S BEC,External Active,Mast Mount,Betaflight,FPV,Long Range FPV
GPS-0108,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,I2C,4-6S BEC,External Active,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0109,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,Yes,5,UART,5V,Helical,Top Mount,ArduPilot,FPV,Navigation
GPS-0110,Matek,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,5V,Ceramic Patch,Mast Mount,PX4,FPV,Long Range FPV
GPS-0111,Here3,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,I2C,4-6S BEC,Ceramic Patch,Frame Mount,PX4,FPV,Navigation
GPS-0112,CUAV,GPS Modules,GNSS Module,GPS,Yes,18,I2C,3.3-5V,External Active,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0113,iFlight,GPS Modules,GNSS Module,GPS+GLONASS,No,18,I2C,3.3-5V,External Active,Mast Mount,INAV,FPV,Long Range FPV
GPS-0114,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,No,1,UART,3.3-5V,Helical,Mast Mount,ArduPilot,FPV,Navigation
GPS-0115,iFlight,GPS Modules,GNSS Module,GPS+GLONASS,No,10,I2C,5V,Helical,Top Mount,PX4,FPV,Navigation
GPS-0116,Beitian,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,CAN,4-6S BEC,Ceramic Patch,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0117,CUAV,GPS Modules,GNSS Module,GPS+GLONASS,Yes,18,I2C,3.3-5V,External Active,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0118,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,I2C,4-6S BEC,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0119,BN-880,GPS Modules,GNSS Module,GPS,No,18,I2C,3.3-5V,Ceramic Patch,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0120,Holybro,GPS Modules,GNSS Module,GPS,Yes,5,CAN,5V,Ceramic Patch,Mast Mount,INAV,FPV,Long Range FPV
GPS-0121,iFlight,GPS Modules,GNSS Module,GPS,Yes,5,UART,5V,External Active,Top Mount,Betaflight,FPV,Navigation
GPS-0122,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,4-6S BEC,External Active,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0123,Matek,GPS Modules,GNSS Module,GPS,No,18,I2C,4-6S BEC,External Active,Mast Mount,ArduPilot,FPV,Navigation
GPS-0124,Matek,GPS Modules,GNSS Module,GPS+BeiDou,No,1,I2C,4-6S BEC,External Active,Frame Mount,Betaflight,Industrial,Autonomous UAV
GPS-0125,Holybro,GPS Modules,GNSS Module,GPS+GLONASS,No,1,CAN,4-6S BEC,Helical,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0126,Radiolink,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,CAN,4-6S BEC,Helical,Mast Mount,PX4,FPV,Navigation
GPS-0127,Here3,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,CAN,3.3-5V,External Active,Top Mount,INAV,Industrial,Mapping / Survey
GPS-0128,Foxeer,GPS Modules,GNSS Module,GPS,Yes,18,I2C,5V,Helical,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0129,GEPRC,GPS Modules,GNSS Module,Multi-GNSS,No,5,I2C,5V,External Active,Frame Mount,INAV,FPV,Long Range FPV
GPS-0130,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,UART,3.3-5V,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0131,BN-880,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,UART,5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0132,Matek,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,CAN,4-6S BEC,Helical,Mast Mount,Betaflight,FPV,Navigation
GPS-0133,Matek,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,UART,3.3-5V,Helical,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0134,Beitian,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,UART,4-6S BEC,Helical,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0135,Beitian,GPS Modules,GNSS Module,GPS+GLONASS,No,10,UART,3.3-5V,Helical,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0136,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,UART,4-6S BEC,Ceramic Patch,Top Mount,ArduPilot,FPV,Navigation
GPS-0137,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,3.3-5V,External Active,Frame Mount,INAV,Industrial,Mapping / Survey
GPS-0138,Flywoo,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,UART,3.3-5V,Helical,Top Mount,INAV,FPV,Navigation
GPS-0139,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,I2C,3.3-5V,Ceramic Patch,Mast Mount,Betaflight,Industrial,Mapping / Survey
GPS-0140,Matek,GPS Modules,GNSS Module,GPS,Yes,5,I2C,5V,Ceramic Patch,Frame Mount,PX4,Industrial,Autonomous UAV
GPS-0141,T-Motor,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,UART,4-6S BEC,External Active,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0142,Flywoo,GPS Modules,GNSS Module,GPS+BeiDou,No,18,CAN,5V,Ceramic Patch,Frame Mount,ArduPilot,FPV,Navigation
GPS-0143,Radiolink,GPS Modules,GNSS Module,GPS+BeiDou,No,1,I2C,3.3-5V,External Active,Mast Mount,ArduPilot,FPV,Navigation
GPS-0144,Flywoo,GPS Modules,GNSS Module,Multi-GNSS,No,10,CAN,4-6S BEC,Ceramic Patch,Top Mount,INAV,FPV,Long Range FPV
GPS-0145,Holybro,GPS Modules,GNSS Module,Multi-GNSS,No,5,CAN,5V,Ceramic Patch,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0146,T-Motor,GPS Modules,GNSS Module,GPS+GLONASS,No,5,UART,4-6S BEC,External Active,Top Mount,PX4,FPV,Long Range FPV
GPS-0147,T-Motor,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,I2C,3.3-5V,External Active,Frame Mount,Betaflight,FPV,Long Range FPV
GPS-0148,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,CAN,4-6S BEC,Ceramic Patch,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0149,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,CAN,4-6S BEC,Ceramic Patch,Frame Mount,Betaflight,FPV,Navigation
GPS-0150,iFlight,GPS Modules,GNSS Module,GPS,No,10,UART,5V,Helical,Frame Mount,Betaflight,FPV,Long Range FPV
GPS-0151,Holybro,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,CAN,3.3-5V,Ceramic Patch,Frame Mount,Betaflight,FPV,Long Range FPV
GPS-0152,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,CAN,3.3-5V,External Active,Top Mount,Betaflight,FPV,Navigation
GPS-0153,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,I2C,4-6S BEC,External Active,Mast Mount,Betaflight,FPV,Long Range FPV
GPS-0154,CUAV,GPS Modules,GNSS Module,GPS,Yes,1,CAN,3.3-5V,Ceramic Patch,Top Mount,ArduPilot,FPV,Long Range FPV
GPS-0155,CUAV,GPS Modules,GNSS Module,GPS,No,18,I2C,5V,Helical,Top Mount,INAV,FPV,Navigation
GPS-0156,Skydroid,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,I2C,3.3-5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0157,BN-880,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,UART,4-6S BEC,Ceramic Patch,Frame Mount,ArduPilot,FPV,Navigation
GPS-0158,iFlight,GPS Modules,GNSS Module,GPS+GLONASS,No,10,I2C,5V,Helical,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0159,Beitian,GPS Modules,GNSS Module,GPS+GLONASS,No,5,UART,5V,Ceramic Patch,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0160,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,UART,4-6S BEC,Ceramic Patch,Mast Mount,PX4,FPV,Long Range FPV
GPS-0161,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,I2C,4-6S BEC,Helical,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0162,Radiolink,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,UART,5V,Helical,Top Mount,PX4,Industrial,Mapping / Survey
GPS-0163,T-Motor,GPS Modules,GNSS Module,GPS,No,18,CAN,4-6S BEC,External Active,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0164,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,4-6S BEC,External Active,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0165,Beitian,GPS Modules,GNSS Module,GPS,Yes,1,CAN,3.3-5V,External Active,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0166,Beitian,GPS Modules,GNSS Module,Multi-GNSS,No,10,I2C,4-6S BEC,Ceramic Patch,Top Mount,INAV,FPV,Long Range FPV
GPS-0167,CUAV,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,UART,3.3-5V,Ceramic Patch,Mast Mount,ArduPilot,FPV,Long Range FPV
GPS-0168,Beitian,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,UART,5V,Helical,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0169,Radiolink,GPS Modules,GNSS Module,GPS,No,10,UART,4-6S BEC,Helical,Frame Mount,Betaflight,Industrial,Autonomous UAV
GPS-0170,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,No,18,CAN,3.3-5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
